experiment,seed,object_code,is_main_horizontal_code,action,sample_count,size_set,weighted_mse_mean,actual_mean_0,actual_std_0,predicted_mean_0,predicted_std_0,actual_mean_1,actual_std_1,predicted_mean_1,predicted_std_1,actual_mean_2,actual_std_2,predicted_mean_2,predicted_std_2
grow_only_k16,1,2,False,forward poke,48,1-3,0.2514497199251006,-1.0530697504679363,0.6003735626225422,-0.4902689680457115,1.9920985841250176e-08,-0.7270205616950989,0.0,-0.9612584312756857,4.489681584565099e-08,0.5241339802742004,0.009290824143871437,0.5779417244096597,9.443518538627104e-08
grow_only_k16,1,2,False,side poke,48,1-3,0.46116800233721733,-0.6888117790222168,0.0,-0.4299336764961481,1.959218480217374e-08,2.174154043197632,0.0,1.0857405538360279,3.6801013730595544e-08,-0.7742390632629395,0.019066352929089304,-0.8875010013580322,0.0
grow_only_k16,1,2,False,top poke,48,1-3,0.3197370072205861,-0.6888118187586466,0.07808849890218264,0.20383927909036478,5.524073255567026e-08,0.4645332892735799,0.04274760292043442,0.08981389893839757,4.0865149775903256e-08,0.7197031577428182,0.0004034483180630978,0.6820086898903052,1.8400506865297772e-08
grow_only_k16,1,3,True,forward poke,112,4-10,0.4701478143355676,1.6606520584651403,1.0051893245596664,1.2079747968486376,0.1393279203667069,-0.741822464125497,0.0364200622931706,-0.4063812672559704,0.0884620223383517,0.4877151165689741,0.021463255979159736,0.5004973661686692,0.048040099357140424
grow_only_k16,1,3,True,side poke,112,4-10,0.15778091495407612,-0.6888117790222168,0.0,-0.6023619921844718,0.14538584721800962,2.174154043197632,0.0,2.124058825629098,0.1795924049481704,-1.0550919941493444,0.2425586053485531,-1.0318487547338009,0.14564980966459165
grow_only_k16,1,3,True,top poke,112,4-10,0.3801350967426385,-0.38439622095652987,0.4379525862191265,0.3488686050155333,0.22690440234966025,0.7531705857420873,0.34278117427358534,0.3580126450397074,0.09614473749234434,0.7202063117708478,0.0009594775635265513,0.657893469291074,0.03125999498874369
grow_only_k16,2,3,False,forward poke,64,"1-3,5",0.5869958940893412,-0.9756649434566498,0.5358785145318037,0.20706744585186243,0.32564058767532,-0.7270205616950989,0.0,-0.7393092401325703,0.03093329199068807,0.5094668418169022,0.026833112369604076,0.4790954049676657,0.0141141154679192
grow_only_k16,2,3,False,side poke,64,"1-3,5",0.032740340640884824,-0.6888117790222168,0.0,-0.8217426864430308,0.06045430458942443,2.174154043197632,0.0,2.0581274516880512,0.07659379284277645,-0.8132395595312119,0.0700481858437137,-0.8202567705884576,0.07999080442733338
grow_only_k16,2,3,False,top poke,64,"1-3,5",0.01826805460950709,-0.6614924669265747,0.08260595534530189,-0.6625418224793975,0.1929753720808904,0.5163399875164032,0.09768764034572039,0.4314044783823192,0.12348287979014058,0.7196851819753647,0.00034988107387078863,0.7195685850456357,0.0017800999741856627
grow_only_k16,2,4,True,forward poke,96,"4,6-10",0.4555140674735109,2.061335821946462,0.21193628018991686,0.9900027820840478,0.4078901531286178,-0.7442894478638967,0.03881710504203693,-0.6756760316590468,0.05864325944561598,0.4914233982563019,0.02099965197391374,0.5381731496502956,0.0643516012285666
grow_only_k16,2,4,True,side poke,96,"4,6-10",0.1280351675717005,-0.6888117790222168,0.0,-0.6150660974284013,0.11929281296944912,2.174154043197632,0.0,2.223174214363098,0.19090309569706063,-1.07590048511823,0.25628269044360535,-1.1120029439528782,0.20297091263460276
grow_only_k16,2,4,True,top poke,96,"4,6-10",0.5391515635807688,-0.3518731892108917,0.4654286936172977,0.14673769698129036,0.7182402941461445,0.7667390029916229,0.368762726499876,0.6252584950998425,0.49110483033088126,0.7203021546204885,0.0010053195156251914,0.7233518647650877,0.00451410328191877
grow_only_k16,3,1,False,forward poke,16,2,1.7528957650065422,-1.890863060951233,0.0,0.3236074298620224,0.5969184517249053,-0.7270205616950989,0.0,-0.6696052104234695,0.0853763753662409,0.5347583889961243,0.0,0.516249030828476,0.02773100873975361
grow_only_k16,3,1,False,side poke,16,2,2.6631287820637226,-0.6888117790222168,0.0,-0.29170019924640656,0.5685887135155314,2.174154043197632,0.0,1.3977175205945969,1.1713817494529506,-0.7823360562324524,0.0,-0.5520921051502228,0.7382319967892429
grow_only_k16,3,1,False,top poke,16,2,0.1459877984598279,-0.7434505224227905,0.0,-0.24296429939568043,0.27366231828291177,0.4645332992076874,0.0,0.6553661711513996,0.030258684642946825,0.7198016047477722,0.0,0.6670903414487839,0.07462348410675786
grow_only_k16,3,3,True,forward poke,144,"1,3-10",0.6541223587474734,1.1506909132003784,1.3044329417837122,0.6440155506134033,0.11427283938442674,-0.7385331524742974,0.0326761806609106,-0.6264669650958644,0.02735393236853304,0.4946277075343662,0.023139218698429748,0.5052969890336195,0.02874523648309282
grow_only_k16,3,3,True,side poke,144,"1,3-10",0.25763718207599595,-0.6888117790222168,0.0,-0.5960101824667718,0.11282207249045721,2.174154043197632,0.0,2.030147941162189,0.2207991865754382,-0.9917805658446418,0.2447542397635646,-0.9624050727321042,0.15825129159451917
grow_only_k16,3,3,True,top poke,144,"1,3-10",0.16937974762792388,-0.44597316450542873,0.40465861225054606,-0.06417015629510085,0.2136092743915397,0.6890289632008515,0.3260464366796477,0.6487523420817323,0.15866812114949616,0.720083561208513,0.0009052991694925676,0.7081224388546414,0.014323020504220269
