experiment,seed,checkpoint,active_k,checkpoint_weighted_mse,sample_loss_std,main_horizontal_code,horizontal_satellite_sizes,horizontal_satellite_size_count
grow_only_k16,1,_last,5,0.17259053885936737,0.2913769483566284,3,1-3,3
grow_only_k16,2,_last,5,0.11833106726408005,0.3812793493270874,4,"1-3,5",4
grow_only_k16,3,_last,4,0.15958824753761292,0.5402820706367493,3,2,1
