experiment,seed,action,main_code,satellite_code,main_sizes,satellite_sizes,actual_effect_l2_difference,predicted_effect_l2_difference,main_weighted_mse,satellite_weighted_mse,actual_delta_0,predicted_delta_0,actual_delta_1,predicted_delta_1,actual_delta_2,predicted_delta_2
grow_only_k16,1,forward poke,3,2,4-10,1-3,2.714006537617061,1.7882724011672422,0.4701478143355676,0.2514497199251006,-2.7137218089330766,-1.6982437648943491,0.01480190243039814,-0.5548771640197152,0.036418863705226345,0.0774443582409905
grow_only_k16,1,side poke,3,2,4-10,1-3,0.28085293088640495,1.0623900561917419,0.15778091495407612,0.46116800233721733,0.0,0.17242831568832373,0.0,-1.0383182717930703,0.28085293088640495,0.14434775337576866
grow_only_k16,1,top poke,3,2,4-10,1-3,0.4195004150913859,0.305852279136797,0.3801350967426385,0.3197370072205861,-0.30441559780211674,-0.1450293259251685,-0.2886372964685074,-0.26819874610130984,-0.0005031540280295843,0.024115220599231213
grow_only_k16,2,forward poke,4,3,"4,6-10","1-3,5",3.0371034604280642,0.7877354288455142,0.4555140674735109,0.5869958940893412,-3.037000765403112,-0.7829353362321854,0.017268886168797848,-0.0636332084735235,0.01804344356060028,-0.05907774468262994
grow_only_k16,2,side poke,4,3,"4,6-10","1-3,5",0.26266092558701826,0.3937911578349848,0.1280351675717005,0.032740340640884824,0.0,-0.20667658901462949,0.0,-0.16504676267504692,0.26266092558701826,0.29174617336442066
grow_only_k16,2,top poke,4,3,"4,6-10","1-3,5",0.39820113603477497,0.8321820916250694,0.5391515635807688,0.01826805460950709,-0.309619277715683,-0.8092795194606879,-0.2503990154752197,-0.19385401671752334,-0.0006169726451238366,-0.0037832797194520262
grow_only_k16,3,forward poke,3,1,"1,3-10",2,3.041840493684456,0.3234844961862197,0.6541223587474734,1.7528957650065422,-3.0415539741516113,-0.3204081207513809,0.011512590779198528,-0.04313824532760513,0.04013068146175808,0.010952041794856426
grow_only_k16,3,side poke,3,1,"1,3-10",2,0.2094445096121894,0.8129757278742893,0.25763718207599595,2.6631287820637226,0.0,0.3043099832203653,0.0,-0.6324304205675921,0.2094445096121894,0.4103129675818814
grow_only_k16,3,top poke,3,1,"1,3-10",2,0.3726810447616991,0.18356121965044,0.16937974762792388,0.1459877984598279,-0.2974773579173618,-0.17879414310057956,-0.22449566399316412,0.006613829069667343,-0.0002819564607408065,-0.04103209740585756
