physical_plan,count,fraction
O3 on O2 | O5 on O3 | O4 on O5,20,0.2
O2 on O3 | O5 on O2 | O4 on O5,19,0.19
O3 on O2 | O5 on O3 | O1 on O5,19,0.19
O2 on O3 | O5 on O2 | O1 on O5,10,0.1
O5 on O2 | O1 on O5 | O4 on O1,9,0.09
O5 on O3 | O1 on O5 | O2 on O1,6,0.06
O5 on O3 | O1 on O5 | O4 on O1,5,0.05
O5 on O2 | O1 on O5 | O3 on O1,2,0.02
O5 on O3 | O2 on O5 | O4 on O2,2,0.02
O5 on O2 | O3 on O5 | O1 on O3,2,0.02
O5 on O2 | O3 on O5 | O4 on O3,2,0.02
O5 on O3 | O2 on O5 | O1 on O2,2,0.02
O3 on O2 | O4 on O3 | O1 on O4,1,0.01
O3 on O2 | O4 on O3 | O5 on O4,1,0.01
