physical_plan,count,fraction
O3 on O2 | O1 on O3,37,0.37
O2 on O3 | O1 on O2,20,0.2
O3 on O2 | O5 on O3,17,0.17
O2 on O3 | O5 on O2,8,0.08
O3 on O5 | O1 on O3,7,0.07
O5 on O3 | O4 on O5,3,0.03
O5 on O2 | O1 on O5,2,0.02
O3 on O5 | O2 on O3,2,0.02
O3 on O2 | O4 on O3,2,0.02
O5 on O2 | O3 on O5,1,0.01
O2 on O3 | O4 on O2,1,0.01
