run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
73,True,1.2427659300155938,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
74,True,1.3694790239969734,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
75,True,1.215671926009236,makebase O3,O2 on O3,O2 on O3 | O4 on O2,0.8846554740739999,True,9,2,
76,True,1.2155380159965716,makebase O3,O2 on O3,O2 on O3 | O5 on O2,0.956047861729,True,9,2,
77,True,1.3033954560232814,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
78,True,1.3256316100014374,makebase O3,O2 on O3,O2 on O3 | O5 on O2,0.956047861729,True,9,2,
79,True,1.3007598060066812,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
80,True,1.4274228230060544,makebase O3,O2 on O3,O2 on O3 | O1 on O2,0.22395982185000002,True,9,2,
81,True,1.3382466610055417,makebase O3,O2 on O3,O2 on O3 | O1 on O2,0.22395982185000002,True,9,2,
82,True,1.2771731149987318,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
83,True,1.2248473500076216,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
84,True,1.2439136269968003,makebase O3,O2 on O3,O2 on O3 | O5 on O2,0.956047861729,True,9,2,
85,True,1.340923807991203,makebase O3,O2 on O3,O2 on O3 | O5 on O2,0.956047861729,True,9,2,
86,True,1.2619227779796347,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
87,True,1.2821088369819336,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
88,True,1.3129384299973026,makebase O3,O2 on O3,O2 on O3 | O1 on O2,0.22395982185000002,True,9,2,
89,True,1.4454293879971374,makebase O3,O2 on O3,O2 on O3 | O1 on O2,0.22395982185000002,True,9,2,
90,True,1.1856476120010484,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
91,True,1.1940339620050509,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
92,True,1.215688723983476,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
93,True,1.3907533239980694,makebase O3,O2 on O3,O2 on O3 | O1 on O2,0.22395982185000002,True,9,2,
94,True,1.16723654200905,makebase O5,O3 on O5,O3 on O5 | O1 on O3,0.22395982185000002,True,9,2,
95,True,1.2497014880063944,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
96,True,1.2857465039996896,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
97,True,1.273960073973285,makebase O3,O5 on O3,O5 on O3 | O4 on O5,0.8846554740739999,True,9,2,
98,True,1.286187810008414,makebase O3,O2 on O3,O2 on O3 | O1 on O2,0.22395982185000002,True,9,2,
99,True,1.2030276669829618,makebase O2,O3 on O2,O3 on O2 | O1 on O3,0.22395982185000002,True,9,2,
