physical_plan,count,fraction
O5 on O2 | O3 on O5,37,0.37
O3 on O2 | O5 on O3,26,0.26
O2 on O3 | O5 on O2,15,0.15
O2 on O4 | O5 on O2,7,0.07
O3 on O5 | O2 on O3,5,0.05
O3 on O4 | O5 on O3,4,0.04
O3 on O4 | O2 on O3,3,0.03
O2 on O4 | O3 on O2,2,0.02
O3 on O2 | O4 on O3,1,0.01
