physical_plan,count,fraction
O3 on O2 | O5 on O3 | O1 on O5,34,0.34
O3 on O2 | O5 on O3 | O4 on O5,16,0.16
O2 on O3 | O5 on O2 | O1 on O5,15,0.15
O2 on O3 | O5 on O2 | O4 on O5,10,0.1
O5 on O2 | O1 on O5 | O3 on O1,10,0.1
O5 on O3 | O1 on O5 | O2 on O1,7,0.07
O5 on O2 | O3 on O5 | O1 on O3,3,0.03
O5 on O2 | O1 on O5 | O4 on O1,2,0.02
O5 on O3 | O1 on O5 | O4 on O1,1,0.01
O5 on O3 | O2 on O5 | O4 on O2,1,0.01
O5 on O2 | O3 on O5 | O4 on O3,1,0.01
