run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
0,True,3.024760789005086,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.36420834502138605,True,12,3,
1,True,2.912366453005234,makebase O3,O5 on O3,O5 on O3 | O1 on O5 | O2 on O1,0.8547682735378839,True,12,3,
2,True,3.119089873012854,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.36420834502138605,True,12,3,
3,True,2.9446246859733947,makebase O2,O5 on O2,O5 on O2 | O1 on O5 | O3 on O1,0.8547682735378839,True,12,3,
4,True,3.025809290003963,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.8649957754736535,True,12,3,
5,True,2.9146836870058905,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O1 on O5,0.8649957754736535,True,12,3,
6,True,2.8247922899900004,makebase O3,O5 on O3,O5 on O3 | O1 on O5 | O2 on O1,0.8547682735378839,True,12,3,
7,True,2.847820103983395,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O1 on O5,0.8649957754736535,True,12,3,
8,True,2.928500402980717,makebase O3,O5 on O3,O5 on O3 | O1 on O5 | O2 on O1,0.8547682735378839,True,12,3,
9,True,2.913385752995964,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O1 on O5,0.8649957754736535,True,12,3,
10,True,3.156094996986212,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O1 on O3,0.8404227003702999,True,12,3,
11,True,2.9640333129791543,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.8649957754736535,True,12,3,
12,True,3.0232960589928553,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.8649957754736535,True,12,3,
13,True,2.9461343020084314,makebase O2,O5 on O2,O5 on O2 | O1 on O5 | O3 on O1,0.8547682735378839,True,12,3,
14,True,2.9216752509819344,makebase O2,O5 on O2,O5 on O2 | O1 on O5 | O4 on O1,0.19935888039352404,True,12,3,
15,True,3.0057721589982975,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.36420834502138605,True,12,3,
16,True,3.0480485139996745,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.8649957754736535,True,12,3,
17,True,2.8997107180184685,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O1 on O5,0.8649957754736535,True,12,3,
18,True,2.90488604301936,makebase O2,O5 on O2,O5 on O2 | O1 on O5 | O3 on O1,0.8547682735378839,True,12,3,
19,True,2.9648408709908836,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.36420834502138605,True,12,3,
20,True,2.9178903000138234,makebase O2,O5 on O2,O5 on O2 | O1 on O5 | O3 on O1,0.8547682735378839,True,12,3,
21,True,2.989392270013923,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.8649957754736535,True,12,3,
22,True,2.970490836974932,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O1 on O5,0.8649957754736535,True,12,3,
23,True,3.0552609210135415,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.36420834502138605,True,12,3,
24,True,2.9538923230138607,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.8649957754736535,True,12,3,
25,True,2.9103273270011414,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.36420834502138605,True,12,3,
26,True,2.9205318719905335,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.36420834502138605,True,12,3,
27,True,3.126751150994096,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.36420834502138605,True,12,3,
28,True,2.915907182992669,makebase O3,O5 on O3,O5 on O3 | O1 on O5 | O2 on O1,0.8547682735378839,True,12,3,
29,True,3.127014430006966,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O1 on O5,0.8649957754736535,True,12,3,
