run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
68,True,3.256502107018605,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
69,True,3.2741559430141933,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
70,True,3.4258080900181085,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
71,True,3.6260241319832858,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
72,True,3.1820645889965817,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
73,True,3.798030778998509,makebase O5,O1 on O5,O1 on O5 | O3 on O1 | O2 on O3,0.8547682735378839,True,12,3,
74,True,3.4048271799983922,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
75,True,3.4124036240100395,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
76,True,3.493165215011686,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
77,True,3.6749917219858617,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
78,True,3.4194345860159956,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
79,True,3.29911198199261,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
80,True,3.313864161988022,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
81,True,3.356490224978188,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
82,True,3.419749712018529,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
83,True,3.428925479995087,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
84,True,3.3963207920023706,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
85,True,3.4135066989983898,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
86,True,4.077948430989636,makebase O5,O3 on O5,O3 on O5 | O2 on O3 | O1 on O2,0.8404227003702999,True,12,3,
87,True,3.397725699003786,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
88,True,3.49897114399937,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
89,True,3.4581291890062857,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O4 on O2,0.359902033176464,True,12,3,
90,True,3.4622286100056954,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
91,True,3.3925602629897185,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O4 on O2,0.359902033176464,True,12,3,
92,True,3.6034787250100635,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
93,True,3.2622897750115953,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
94,True,3.176448307989631,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
95,True,3.322181579977041,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
96,True,3.8799719809903763,makebase O5,O1 on O5,O1 on O5 | O2 on O1 | O3 on O2,0.8547682735378839,True,12,3,
97,True,3.5309914450044744,makebase O1,O2 on O1,O2 on O1 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
98,True,3.52236741600791,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
99,True,3.284789933008142,makebase O1,O3 on O1,O3 on O1 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
