physical_plan,count,fraction
O3 on O2 | O5 on O3,30,0.3
O5 on O2 | O3 on O5,30,0.3
O2 on O4 | O3 on O2,14,0.14
O2 on O4 | O5 on O2,8,0.08
O3 on O4 | O5 on O3,6,0.06
O3 on O5 | O2 on O3,4,0.04
O3 on O4 | O2 on O3,3,0.03
O2 on O3 | O5 on O2,3,0.03
O5 on O4 | O3 on O5,2,0.02
