run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
66,True,2.036493830004474,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
67,True,1.943376162002096,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
68,True,2.0144561160122976,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
69,True,1.9806830590241589,makebase O4,O3 on O4,O3 on O4 | O5 on O3,0.9447437818319999,True,9,2,
70,True,1.9514409489929676,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
71,True,1.9315239830175415,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
72,True,1.909072454989655,makebase O4,O3 on O4,O3 on O4 | O5 on O3,0.9447437818319999,True,9,2,
73,True,2.0350694480002858,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.9447437818319999,True,9,2,
74,True,1.9030735910055228,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
75,True,1.8874461249797605,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
76,True,2.0199486690107733,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
77,True,1.8400513049855363,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
78,True,2.0173017749912106,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
79,True,1.9542992759961635,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
80,True,1.8801090529887006,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.9447437818319999,True,9,2,
81,True,2.0347378109872807,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
82,True,1.913259746012045,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
83,True,1.8957036999927368,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
84,True,2.082495292008389,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.9447437818319999,True,9,2,
85,True,2.059600192005746,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
86,True,2.3151522330008447,makebase O3,O2 on O3,O2 on O3 | O5 on O2,0.956047861729,True,9,2,
87,True,2.140616787975887,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.9447437818319999,True,9,2,
88,True,2.1453407979861367,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
89,True,2.1214577139762696,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.9447437818319999,True,9,2,
90,True,2.3628429230011534,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.9447437818319999,True,9,2,
91,True,2.1950448749994393,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
92,True,1.8777935490070377,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
93,True,2.024238778016297,makebase O2,O3 on O2,O3 on O2 | O5 on O3,0.956047861729,True,9,2,
94,True,1.8879373669915367,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
95,True,1.9881752170040272,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.9447437818319999,True,9,2,
96,True,2.146260651992634,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.9447437818319999,True,9,2,
97,True,1.9384786860027816,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
98,True,2.160832787019899,makebase O5,O3 on O5,O3 on O5 | O2 on O3,0.956047861729,True,9,2,
99,True,1.9960841860156506,makebase O2,O5 on O2,O5 on O2 | O3 on O5,0.956047861729,True,9,2,
