canonical_index,family_index,family,size,object_code,assigned_squared_distance,latent_0,latent_1
0,0,Sphere,1,2,0.3558974266052246,1.6764453649520874,0.967625081539154
1,0,Sphere,2,2,0.5306143760681152,1.8060756921768188,0.9305179119110107
2,0,Sphere,3,2,2.4797723293304443,2.517566204071045,0.4681034982204437
3,0,Sphere,4,2,1.61147141456604,2.4257068634033203,1.2662551403045654
4,0,Sphere,5,2,2.949069023132324,2.872931480407715,1.3066246509552002
5,0,Sphere,6,2,3.1264820098876953,2.9191322326660156,1.3970582485198975
6,0,Sphere,7,2,1.362632155418396,2.310472249984741,1.4343445301055908
7,0,Sphere,8,2,1.2717386484146118,2.2805392742156982,1.1714589595794678
8,0,Sphere,9,2,0.44993022084236145,1.8266297578811646,1.2836097478866577
9,0,Sphere,10,2,1.5847474336624146,2.404545545578003,1.4228224754333496
10,1,Cube,1,0,0.8970084190368652,0.5265412926673889,-0.6022670269012451
11,1,Cube,2,0,0.3502633273601532,0.8939557671546936,-1.0447014570236206
12,1,Cube,3,0,0.8639751076698303,0.6373870372772217,-1.2895183563232422
13,1,Cube,4,0,0.7818529009819031,1.2949310541152954,-1.7018886804580688
14,1,Cube,5,0,1.0090222358703613,1.2609026432037354,-1.8179688453674316
15,1,Cube,6,0,1.0321085453033447,1.0189794301986694,-1.7525748014450073
16,1,Cube,7,0,0.30753085017204285,1.367339015007019,-1.3796032667160034
17,1,Cube,8,0,0.3285467326641083,1.861185908317566,-1.2254865169525146
18,1,Cube,9,0,1.075626015663147,2.2898921966552734,-1.4330909252166748
19,1,Cube,10,0,0.521700382232666,2.129504442214966,-1.0632565021514893
20,2,V. cylinder,1,0,0.22142170369625092,1.651852011680603,-0.4076172411441803
21,2,V. cylinder,2,0,0.025252461433410645,1.3811603784561157,-0.6854028701782227
22,2,V. cylinder,3,0,0.07338941842317581,1.2518647909164429,-0.6413669586181641
23,2,V. cylinder,4,0,0.09772229194641113,1.3159103393554688,-1.1149992942810059
24,2,V. cylinder,5,0,0.23303890228271484,0.9657502770423889,-0.7788448929786682
25,2,V. cylinder,6,0,0.2825784683227539,0.9299328923225403,-0.7019469738006592
26,2,V. cylinder,7,0,0.5172761678695679,0.7449768781661987,-0.668586015701294
27,2,V. cylinder,8,0,0.3738766014575958,0.9160050749778748,-0.5251763463020325
28,2,V. cylinder,9,0,0.3854990005493164,0.8789952397346497,-0.5769676566123962
29,2,V. cylinder,10,0,0.4124808609485626,1.3004013299942017,-0.20502041280269623
30,3,H. cylinder,1,2,2.639869213104248,-0.4399079978466034,1.5631102323532104
31,3,H. cylinder,2,1,2.984738826751709,-1.0646165609359741,1.3981704711914062
32,3,H. cylinder,3,1,3.657888412475586,-0.9516285061836243,1.73098623752594
33,3,H. cylinder,4,2,2.2858314514160156,-0.34491539001464844,1.4392549991607666
34,3,H. cylinder,5,2,1.0309728384017944,0.14187784492969513,1.2155969142913818
35,3,H. cylinder,6,2,4.119436264038086,-0.8029676675796509,1.789609432220459
36,3,H. cylinder,7,2,2.6707510948181152,-0.37798169255256653,1.8225667476654053
37,3,H. cylinder,8,2,2.66817569732666,0.02960054948925972,2.442430257797241
38,3,H. cylinder,9,2,0.23418021202087402,0.6909837126731873,1.1267971992492676
39,3,H. cylinder,10,2,0.5761098861694336,1.7274960279464722,0.7599114179611206
40,4,Cup,1,1,1.1428499221801758,-3.836090087890625,1.024728775024414
41,4,Cup,2,1,0.7082338929176331,-3.601222515106201,0.9942256212234497
42,4,Cup,3,1,0.31676483154296875,-3.2149109840393066,0.8022654056549072
43,4,Cup,4,1,0.25032663345336914,-3.1583046913146973,0.8317484259605408
44,4,Cup,5,1,0.40119120478630066,-3.3311245441436768,0.8502769470214844
45,4,Cup,6,1,0.4179134666919708,-3.416896343231201,1.2278602123260498
46,4,Cup,7,1,0.1112365797162056,-3.0877885818481445,1.0378918647766113
47,4,Cup,8,1,0.11686515808105469,-3.0431790351867676,1.3647665977478027
48,4,Cup,9,1,0.36958548426628113,-3.381319522857666,1.1941859722137451
49,4,Cup,10,1,0.9265261292457581,-3.719168186187744,1.3392009735107422
