physical_plan,count,fraction
O2 on O4 | O3 on O2 | O5 on O3,32,0.32
O2 on O4 | O5 on O2 | O3 on O5,31,0.31
O3 on O4 | O2 on O3 | O5 on O2,27,0.27
O5 on O4 | O3 on O5 | O2 on O3,4,0.04
O3 on O4 | O2 on O3 | O1 on O2,3,0.03
O2 on O4 | O3 on O2 | O1 on O3,2,0.02
O2 on O3 | O5 on O2 | O4 on O5,1,0.01
