run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
0,True,4.279506686987588,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
1,True,4.141664013994159,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
2,True,3.8418735549785197,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
3,True,3.755020915006753,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
4,True,3.984695772000123,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
5,True,3.864195458998438,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
6,True,3.8453960890183225,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
7,True,3.6761308849963825,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
8,True,3.7784438990056515,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
9,True,3.8669289509998634,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
10,True,4.010986082983436,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
11,True,3.8340616160130594,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
12,True,3.815977547026705,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
13,True,3.8316102600074373,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
14,True,3.7921230859938078,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
15,True,3.729632328002481,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
16,True,3.8251916560111567,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
17,True,3.899378569010878,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
18,True,3.804117777995998,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
19,True,3.894910102011636,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
20,True,3.987792249012273,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
21,True,3.751443551009288,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
22,True,4.439417385990964,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
23,True,3.8559965430176817,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
24,True,3.9184290359844454,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
25,True,3.7025746870203875,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
26,True,3.8517117259907536,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
27,True,3.920456355001079,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
28,True,3.7690885179908946,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
29,True,3.9569718569982797,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
30,True,3.9102643030055333,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
31,True,3.8152224580117036,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
32,True,3.864792367996415,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O1 on O2,0.21639356322861958,True,12,3,
33,True,3.9270993690006435,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
34,True,3.8694914109946694,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
35,True,3.7890224259754177,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
36,True,3.8433170229836833,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
37,True,3.8991221510223113,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
38,True,4.033043561998056,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
39,True,3.7047636930074077,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
40,True,3.9649966699944343,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
41,True,3.8087891140021384,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
42,True,3.8945678559830412,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
43,True,3.9821989049960393,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
44,True,3.9127545120136347,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
45,True,3.723536126984982,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O1 on O3,0.21639356322861958,True,12,3,
46,True,3.9477016919991,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
47,True,4.0379759360221215,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
48,True,4.06014009800856,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
49,True,3.78304365099757,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
50,True,3.766312075982569,makebase O4,O5 on O4,O5 on O4 | O3 on O5 | O2 on O3,0.9237487407683473,True,12,3,
51,True,3.8474485159968026,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
52,True,4.042203624005197,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
53,True,3.8680575719918124,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
54,True,3.9712936430005357,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
