model,seed,level,epoch,train_total,train_effect,train_vq,eval_total,eval_effect,eval_vq,active_codes,ema_used_codes,step_counter,last_check_step,surprise_streak,distance_mean,distance_p90,distance_p95,distance_max,surprise_support
dynamic,2,1,1,6.661753355662028,6.633568433125814,0.028184877236684162,6.504311369260152,6.504311369260152,0.0,1.0,1.0,10.0,0.0,0.0,,,,,
dynamic,2,1,2,6.452111301422119,6.415792407989502,0.036318891694148384,6.288825920422872,6.288825920422872,0.0,1.0,1.0,20.0,0.0,0.0,,,,,
dynamic,2,1,3,6.239674809773763,6.205779240926106,0.03389560947815577,6.093067849477132,6.093067849477132,0.0,1.0,1.0,30.0,0.0,0.0,,,,,
dynamic,2,1,4,6.036015923817953,6.013932374318441,0.022083564152320226,5.9043638118108115,5.9043638118108115,0.0,1.0,1.0,40.0,0.0,0.0,,,,,
dynamic,2,1,5,5.843680013020833,5.827191301981608,0.016488689382870993,5.721385636329651,5.721385636329651,0.0,1.0,1.0,50.0,0.0,0.0,,,,,
dynamic,2,1,6,5.669392655690511,5.648485641479493,0.020907010038693746,5.544800599416097,5.544800599416097,0.0,1.0,1.0,60.0,0.0,0.0,,,,,
dynamic,2,1,7,5.507141590118408,5.4734446271260575,0.033696945707003274,5.379314171473185,5.379314171473185,0.0,1.0,1.0,70.0,0.0,0.0,,,,,
dynamic,2,1,8,5.354700438181559,5.310325082143148,0.044375353703896205,5.216596630414327,5.216596630414327,0.0,1.0,1.0,80.0,0.0,0.0,,,,,
dynamic,2,1,9,5.20400936126709,5.150935134887695,0.053074220418930056,5.059281818072001,5.059281818072001,0.0,1.0,1.0,90.0,0.0,0.0,,,,,
dynamic,2,1,10,5.05697047551473,4.998289152781169,0.05868134339650472,4.910461797714233,4.910461797714233,0.0,1.0,1.0,100.0,0.0,0.0,,,,,
dynamic,2,1,11,4.924996204376221,4.850322615305583,0.07467356204986572,4.770314672787984,4.770314672787984,0.0,1.0,1.0,110.0,0.0,0.0,,,,,
dynamic,2,1,12,4.801662591298421,4.710950539906819,0.09071201652288437,4.633078047434489,4.633078047434489,0.0,1.0,1.0,120.0,0.0,0.0,,,,,
dynamic,2,1,13,4.669794979095459,4.579680913289388,0.09011409451564154,4.5024508269627885,4.5024508269627885,0.0,1.0,1.0,130.0,0.0,0.0,,,,,
dynamic,2,1,14,4.522418874104818,4.4510049120585125,0.07141392012437185,4.378371739387513,4.378371739387513,0.0,1.0,1.0,140.0,0.0,0.0,,,,,
dynamic,2,1,15,4.391601651509603,4.327391656239827,0.06421009302139283,4.256294294993083,4.256294294993083,0.0,1.0,1.0,150.0,0.0,0.0,,,,,
dynamic,2,1,16,4.274615675608317,4.208514200846354,0.06610150068998337,4.139561066627502,4.139561066627502,0.0,1.0,1.0,160.0,0.0,0.0,,,,,
dynamic,2,1,17,4.170547246932983,4.092278226216634,0.07826900025208791,4.028518629074097,4.028518629074097,0.0,1.0,1.0,170.0,0.0,0.0,,,,,
dynamic,2,1,18,4.078894367218018,3.983315022786458,0.09557934284210205,3.9217225551605224,3.9217225551605224,0.0,1.0,1.0,180.0,0.0,0.0,,,,,
dynamic,2,1,19,3.9787792205810546,3.8783137543996173,0.10046544174353282,3.8195594263076784,3.8195594263076784,0.0,1.0,1.0,190.0,0.0,0.0,,,,,
dynamic,2,1,20,3.8699233373006185,3.778581765492757,0.09134155730406443,3.7193752908706665,3.7193752908706665,0.0,1.0,1.0,200.0,0.0,0.0,,,,,
dynamic,2,1,21,3.7601671187082926,3.678745476404826,0.08142167150974274,3.6237320041656496,3.6237320041656496,0.0,1.0,1.0,210.0,201.0,1.0,0.7051615715026855,1.5988998413085938,2.400515079498291,7.076391220092773,54.0
dynamic,2,1,22,3.6577012666066486,3.585677356719971,0.07202394137779872,3.5314865843454997,3.5314865843454997,0.0,1.0,1.0,220.0,201.0,1.0,0.7051615715026855,1.5988998413085938,2.400515079498291,7.076391220092773,54.0
dynamic,2,1,23,3.5727385075887046,3.495447025299072,0.07729150275389353,3.4436282364527386,3.4436282364527386,0.0,1.0,1.0,230.0,201.0,1.0,0.7051615715026855,1.5988998413085938,2.400515079498291,7.076391220092773,54.0
dynamic,2,1,24,3.5029497210184735,3.4092040697733563,0.09374562859535217,3.3610869963963825,3.3610869963963825,0.0,1.0,1.0,240.0,201.0,1.0,0.7051615715026855,1.5988998413085938,2.400515079498291,7.076391220092773,54.0
dynamic,2,1,25,3.4628194204966225,3.3271240552266437,0.13569536368052165,3.2791846132278444,3.2791846132278444,0.0,1.0,1.0,250.0,201.0,1.0,0.7051615715026855,1.5988998413085938,2.400515079498291,7.076391220092773,54.0
dynamic,2,1,26,3.475776087443034,3.245264876683553,0.23051120320955912,3.1986211284001667,3.1986211284001667,0.0,1.0,1.0,260.0,201.0,1.0,0.7051615715026855,1.5988998413085938,2.400515079498291,7.076391220092773,54.0
dynamic,2,1,27,3.471722863515218,3.165739549001058,0.3059833510716756,3.123046127955119,3.123046127955119,0.0,1.0,1.0,270.0,201.0,1.0,0.7051615715026855,1.5988998413085938,2.400515079498291,7.076391220092773,54.0
dynamic,2,1,28,3.336660919189453,3.093167848587036,0.24349307974179585,3.0530974165598552,3.0530974165598552,0.0,1.0,1.0,280.0,201.0,1.0,0.7051615715026855,1.5988998413085938,2.400515079498291,7.076391220092773,54.0
dynamic,2,1,29,3.1562239869435627,3.0245468362172443,0.1316771827141444,2.9856214141845703,2.9856214141845703,0.0,1.0,1.0,290.0,201.0,1.0,0.7051615715026855,1.5988998413085938,2.400515079498291,7.076391220092773,54.0
dynamic,2,1,30,3.0387293529510497,2.957913738886515,0.0808156117796898,2.9197220198313394,2.9197220198313394,0.0,1.0,1.0,300.0,201.0,1.0,0.7051615715026855,1.5988998413085938,2.400515079498291,7.076391220092773,54.0
dynamic,2,1,31,3.0720108699798585,3.0306079737345377,0.04140287548303604,2.886869939168294,2.886869939168294,0.0,2.0,2.0,310.0,301.0,0.0,0.5165002346038818,1.1071569919586182,1.6070876121520996,4.766434669494629,34.0
dynamic,2,1,32,3.0266566944122313,2.8812543773651123,0.14540233492851257,2.804724677403768,2.804724677403768,0.0,2.0,2.0,320.0,301.0,0.0,0.5165002346038818,1.1071569919586182,1.6070876121520996,4.766434669494629,34.0
dynamic,2,1,33,3.0201390584309897,2.797509241104126,0.22262981911500296,2.730485439300537,2.730485439300537,0.0,2.0,2.0,330.0,301.0,0.0,0.5165002346038818,1.1071569919586182,1.6070876121520996,4.766434669494629,34.0
dynamic,2,1,34,2.8736015955607095,2.6778937149047852,0.19570788701375325,2.6945399188995363,2.6945399188995363,0.0,2.0,2.0,340.0,301.0,0.0,0.5165002346038818,1.1071569919586182,1.6070876121520996,4.766434669494629,34.0
dynamic,2,1,35,2.765146764119466,2.649847895304362,0.11529884417851766,2.633662675221761,2.633662675221761,0.0,2.0,2.0,350.0,301.0,0.0,0.5165002346038818,1.1071569919586182,1.6070876121520996,4.766434669494629,34.0
dynamic,2,1,36,2.6456536356608074,2.5675543912251793,0.07809927046298981,2.5018028513590496,2.5018028513590496,0.0,2.0,2.0,360.0,301.0,0.0,0.5165002346038818,1.1071569919586182,1.6070876121520996,4.766434669494629,34.0
dynamic,2,1,37,2.5657180182139077,2.48453719774882,0.08118086278438569,2.4611273606618247,2.4611273606618247,0.0,2.0,2.0,370.0,301.0,0.0,0.5165002346038818,1.1071569919586182,1.6070876121520996,4.766434669494629,34.0
dynamic,2,1,38,2.4980626010894778,2.3816737524668374,0.11638887286186218,2.33612455368042,2.33612455368042,0.0,2.0,2.0,380.0,301.0,0.0,0.5165002346038818,1.1071569919586182,1.6070876121520996,4.766434669494629,34.0
dynamic,2,1,39,2.4708048566182454,2.270099678039551,0.20070517738660176,2.240252415339152,2.240252415339152,0.0,2.0,2.0,390.0,301.0,0.0,0.5165002346038818,1.1071569919586182,1.6070876121520996,4.766434669494629,34.0
dynamic,2,1,40,2.520639174779256,2.170714422861735,0.3499247459570567,2.1861524136861163,2.1861524136861163,0.0,2.0,2.0,400.0,301.0,0.0,0.5165002346038818,1.1071569919586182,1.6070876121520996,4.766434669494629,34.0
dynamic,2,1,41,2.486043170293172,2.0922008117039996,0.39384238004684446,2.058190005620321,2.058190005620321,0.0,2.0,2.0,410.0,401.0,1.0,3.1234850883483887,9.60063362121582,17.27857780456543,52.44549560546875,83.0
dynamic,2,1,42,2.428694184621175,2.059742798805237,0.3689514422416687,1.952342414855957,1.952342414855957,0.0,2.0,2.0,420.0,401.0,1.0,3.1234850883483887,9.60063362121582,17.27857780456543,52.44549560546875,83.0
dynamic,2,1,43,2.323894602457682,1.9731053924560547,0.350789163907369,1.843135019938151,1.843135019938151,0.0,2.0,2.0,430.0,401.0,1.0,3.1234850883483887,9.60063362121582,17.27857780456543,52.44549560546875,83.0
dynamic,2,1,44,2.2202754624684653,1.9385531822840372,0.28172227581342063,1.765197270711263,1.765197270711263,0.0,2.0,2.0,440.0,401.0,1.0,3.1234850883483887,9.60063362121582,17.27857780456543,52.44549560546875,83.0
dynamic,2,1,45,2.104718802769979,1.9190496063232423,0.1856691598892212,1.7235857645670574,1.7235857645670574,0.0,2.0,2.0,450.0,401.0,1.0,3.1234850883483887,9.60063362121582,17.27857780456543,52.44549560546875,83.0
dynamic,2,1,46,2.0371547158559165,1.8833367999394734,0.1538179349899292,1.6656683508555095,1.6656683508555095,0.0,2.0,2.0,460.0,401.0,1.0,3.1234850883483887,9.60063362121582,17.27857780456543,52.44549560546875,83.0
dynamic,2,1,47,2.021288970311483,1.8842092227935792,0.13707976758480073,1.6929611428578695,1.6929611428578695,0.0,2.0,2.0,470.0,401.0,1.0,3.1234850883483887,9.60063362121582,17.27857780456543,52.44549560546875,83.0
dynamic,2,1,48,2.0462846326828004,1.9022625494003296,0.14402210990587871,1.7983657455444335,1.7983657455444335,0.0,2.0,2.0,480.0,401.0,1.0,3.1234850883483887,9.60063362121582,17.27857780456543,52.44549560546875,83.0
dynamic,2,1,49,1.7872345447540283,1.585902468363444,0.20133207519849142,1.6129499848683675,1.6129499848683675,0.0,2.0,2.0,490.0,401.0,1.0,3.1234850883483887,9.60063362121582,17.27857780456543,52.44549560546875,83.0
dynamic,2,1,50,1.6886529938379924,1.53982790629069,0.1488250908255577,1.5304101435343425,1.5304101435343425,0.0,2.0,2.0,500.0,401.0,1.0,3.1234850883483887,9.60063362121582,17.27857780456543,52.44549560546875,83.0
dynamic,2,1,51,1.7384630711873372,1.686767651240031,0.05169541622201602,1.623658889134725,1.623658889134725,0.0,3.0,3.0,510.0,501.0,0.0,0.7000672221183777,1.5944970846176147,2.688875675201416,7.2200093269348145,53.0
dynamic,2,1,52,1.9849044926961263,1.9420917224884033,0.042812746812899906,1.7658905919392904,1.7658905919392904,0.0,3.0,3.0,520.0,501.0,0.0,0.7000672221183777,1.5944970846176147,2.688875675201416,7.2200093269348145,53.0
dynamic,2,1,53,1.9345362504323325,1.8905804920196534,0.0439557250837485,1.8071909300486246,1.8071909300486246,0.0,3.0,3.0,530.0,501.0,0.0,0.7000672221183777,1.5944970846176147,2.688875675201416,7.2200093269348145,53.0
dynamic,2,1,54,1.9012514305114747,1.8428929297129313,0.058358496129512785,1.7929423014322916,1.7929423014322916,0.0,3.0,3.0,540.0,501.0,0.0,0.7000672221183777,1.5944970846176147,2.688875675201416,7.2200093269348145,53.0
dynamic,2,1,55,1.957804381052653,1.8768327871958415,0.08097158044576645,1.7352462387084961,1.7352462387084961,0.0,3.0,3.0,550.0,501.0,0.0,0.7000672221183777,1.5944970846176147,2.688875675201416,7.2200093269348145,53.0
dynamic,2,1,56,1.7545673910776773,1.6604859447479248,0.09408144176006317,1.6907544167836508,1.6907544167836508,0.0,3.0,3.0,560.0,501.0,0.0,0.7000672221183777,1.5944970846176147,2.688875675201416,7.2200093269348145,53.0
dynamic,2,1,57,1.7198704703648886,1.6246172682444255,0.09525321781635285,1.6036961714426676,1.6036961714426676,0.0,3.0,3.0,570.0,501.0,0.0,0.7000672221183777,1.5944970846176147,2.688875675201416,7.2200093269348145,53.0
dynamic,2,1,58,1.7430800294876099,1.6586391433080037,0.08444089531898498,1.5880515225728353,1.5880515225728353,0.0,3.0,3.0,580.0,501.0,0.0,0.7000672221183777,1.5944970846176147,2.688875675201416,7.2200093269348145,53.0
dynamic,2,1,59,1.6372917413711547,1.5608506759007772,0.07644105841716131,1.511766398747762,1.511766398747762,0.0,3.0,3.0,590.0,501.0,0.0,0.7000672221183777,1.5944970846176147,2.688875675201416,7.2200093269348145,53.0
dynamic,2,1,60,1.5163883940378824,1.4549767684936523,0.061411618789037066,1.4428928979237874,1.4428928979237874,0.0,3.0,3.0,600.0,501.0,0.0,0.7000672221183777,1.5944970846176147,2.688875675201416,7.2200093269348145,53.0
