physical_plan,count,fraction
O3 on O1 | O2 on O3 | O5 on O2,71,0.71
O2 on O1 | O3 on O2 | O5 on O3,14,0.14
O1 on O5 | O3 on O1 | O2 on O3,4,0.04
O3 on O1 | O2 on O3 | O4 on O2,3,0.03
O1 on O5 | O2 on O1 | O3 on O2,2,0.02
O2 on O3 | O5 on O2 | O1 on O5,1,0.01
O1 on O5 | O3 on O1 | O4 on O3,1,0.01
O2 on O1 | O3 on O2 | O4 on O3,1,0.01
O3 on O1 | O5 on O3 | O2 on O5,1,0.01
O2 on O1 | O5 on O2 | O3 on O5,1,0.01
O3 on O5 | O1 on O3 | O2 on O1,1,0.01
