object_code,canonical_count,canonical_fraction,ema_training_occupancy
0,20,0.4,0.39689430444248697
1,10,0.2,0.2000317852917849
2,3,0.06,0.06260469668600528
3,7,0.14,0.12969506308046766
4,10,0.2,0.2107741504992552
