object_code,canonical_count,canonical_fraction,ema_training_occupancy
0,9,0.18,0.20232501817154086
1,10,0.2,0.20002119976563712
2,21,0.42,0.40274679258682283
3,4,0.08,0.08641272072669615
4,6,0.12,0.10849426874930303
