seed,level1_weighted_mse,level2_weighted_mse,level1_unweighted_mse,level2_unweighted_mse,object_used_codes,relation_used_codes,object_perplexity,relation_perplexity,active_object_codes,active_relation_codes,object_shape_purity,object_affordance_purity,object_affordance_nmi,tuple_effect_purity,tuple_effect_entropy,method,run_dir
1,0.17532904441157976,0.5729911342620849,0.15909038008087212,0.3724288056403398,4.0,2.0,3.778594297758912,1.8475931410011501,4.0,2.0,0.77625,0.97625,0.9441683053156672,0.7972,0.536223418087493,dynamic,/home/kubra/DeepSym/save/poster_5seed/dynamic/seed_1
2,0.1451768132299185,0.5432783679008484,0.13108308221730922,0.3732064169174681,4.0,2.0,3.782626628924195,1.9997177666377226,4.0,2.0,0.77875,0.97875,0.944800638687546,0.796,0.5423203099810298,dynamic,/home/kubra/DeepSym/save/poster_5seed/dynamic/seed_2
3,0.14278835634390513,0.5296600611686707,0.12358971817522413,0.35202700949187077,4.0,2.0,3.784985156142836,1.883326721203801,4.0,2.0,0.7920833333333334,0.9920833333333333,0.9719549918579699,0.812,0.5110493831474953,dynamic,/home/kubra/DeepSym/save/poster_5seed/dynamic/seed_3
4,0.22717807014783223,0.5867316482543945,0.20951982865523963,0.38425224816401804,4.0,2.0,3.7823760563879683,1.9865590273853693,4.0,2.0,0.7745833333333333,0.9720833333333333,0.930701809672988,0.79,0.5475578280544796,dynamic,/home/kubra/DeepSym/save/poster_5seed/dynamic/seed_4
5,0.5373087129493554,0.8294159030914307,0.4778979345824983,0.552051871914665,3.0,2.0,2.519818199154697,1.9290195398267194,3.0,2.0,0.5729166666666666,0.7691666666666667,0.7255618687209079,0.6032,0.8909654753128868,dynamic,/home/kubra/DeepSym/save/poster_5seed/dynamic/seed_5
1,0.4768165152768294,0.7575703826904296,0.41900756334885964,0.5037876302837705,3.0,2.0,2.6285391077308256,1.9964963824639779,4.0,2.0,0.6,0.79,0.7785366253410885,0.6576,0.8140445609776078,original,/home/kubra/DeepSym/save/poster_5seed/original/seed_1
2,0.1758345741033554,0.5499522416114807,0.1477109737952964,0.36327169352360067,4.0,2.0,3.78011045481404,1.9434299108179023,4.0,2.0,0.7929166666666667,0.9916666666666667,0.9662733900102264,0.7924,0.5416403263850261,original,/home/kubra/DeepSym/save/poster_5seed/original/seed_2
3,0.17545511772235234,0.5937205898284912,0.15002991439981592,0.3811349744303152,4.0,2.0,3.787896448061428,1.8838650709339193,4.0,2.0,0.7804166666666666,0.9754166666666667,0.9149366318760327,0.7632,0.6040008136701174,original,/home/kubra/DeepSym/save/poster_5seed/original/seed_3
4,0.31950677116711934,0.674420122051239,0.2730832032445404,0.4387955093247738,4.0,2.0,3.8191680400026917,1.9460448470128062,4.0,2.0,0.7725,0.9391666666666667,0.8362835351466315,0.75,0.6852979592855718,original,/home/kubra/DeepSym/save/poster_5seed/original/seed_4
5,0.4702629527946313,0.8154318634033203,0.31413208203907644,0.512521765296099,3.0,2.0,2.631645238002227,1.9813147800031439,4.0,2.0,0.6,0.7995833333333333,0.8025316362905671,0.6716,0.8294172493828958,original,/home/kubra/DeepSym/save/poster_5seed/original/seed_5
1,0.29537588407595955,0.5605884819030762,0.22402106960407564,0.3871485536841055,4.0,2.0,3.248191778225616,1.9988167566536248,4.0,2.0,0.6,0.79875,0.815085338535895,0.804,0.5540755154840538,vq,/home/kubra/DeepSym/save/poster_5seed/vq/seed_1
2,0.1689767538756132,0.5307140424728394,0.1532686210454752,0.36654171916333333,4.0,2.0,3.779332458585171,1.997772573329215,4.0,2.0,0.7770833333333333,0.9770833333333333,0.9455134084976471,0.786,0.5383418130230468,vq,/home/kubra/DeepSym/save/poster_5seed/vq/seed_2
3,0.1992548025896152,0.5399675786972046,0.16564222318223779,0.36970443037599326,4.0,2.0,3.77670817402353,1.842646475842184,4.0,2.0,0.7908333333333334,0.9875,0.9535109397882823,0.8072,0.5142643869236821,vq,/home/kubra/DeepSym/save/poster_5seed/vq/seed_3
4,0.26452692021926244,0.6877081415176391,0.24121986704619805,0.4392263172566891,4.0,2.0,3.7377996988842948,1.9542062439446035,4.0,2.0,0.77625,0.97375,0.9239170757030402,0.7456,0.6724763037261032,vq,/home/kubra/DeepSym/save/poster_5seed/vq/seed_4
5,0.21194831103086473,0.6469408757209778,0.18248406342334214,0.42504413909514743,4.0,2.0,3.780154247794026,1.9871088641273382,4.0,2.0,0.7691666666666667,0.9691666666666666,0.9119549971549442,0.77,0.6183706345325838,vq,/home/kubra/DeepSym/save/poster_5seed/vq/seed_5
