run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
62,True,0.8160258709976915,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
63,True,0.9020724259898998,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
64,True,0.8451676149852574,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
65,True,0.862699049001094,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
66,True,0.8588098970067222,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
67,True,0.8700819600198884,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
68,True,0.8668685960001312,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
69,True,0.8497013629821595,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
70,True,0.8805688949942123,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
71,True,0.8410095690051094,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
72,True,2.2441934600064997,makebase O4,O3 on O4,O3 on O4 | O1 on O3,0.028169,True,9,2,
73,True,0.8347469739965163,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
74,True,0.8415032920020167,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
75,True,0.8653507240233012,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
76,True,0.8482785600062925,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
77,True,0.840917665977031,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
78,True,0.8474860620044637,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
79,True,0.8481653789931443,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
80,True,0.8241936409904156,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
81,True,0.8550800469820388,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
82,True,0.8728314909967594,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
83,True,0.8589117220253684,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
84,True,0.8398666060238611,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
85,True,0.8644900759973098,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
86,True,0.8500580000109039,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
87,True,0.8711000109906308,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
88,True,0.8426651600166224,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
89,True,0.8682317170023452,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
90,True,1.5644883869972546,makebase O2,O1 on O2,O1 on O2 | O4 on O1 | O5 on O4,0.5846733191079067,True,11,3,
91,True,0.8357913980144076,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
92,True,0.8473739630135242,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
93,True,0.8740370380110107,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
94,True,0.8780992749962024,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
95,True,0.8331222489941865,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
96,True,0.8629553829960059,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
97,True,0.8452380580129102,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
98,True,0.8391573919798248,makebase O4,O2 on O4,O2 on O4 | O5 on O2,0.965982257478,True,9,2,
99,True,0.8807507250166964,makebase O4,O2 on O4,O2 on O4 | O3 on O2,0.221717297592,True,9,2,
