physical_plan,count,fraction
O3 on O2 | O5 on O3,72,0.72
O2 on O3 | O5 on O2,10,0.1
O3 on O2 | O4 on O3,5,0.05
O3 on O2 | O1 on O3,5,0.05
O5 on O2 | O1 on O5,4,0.04
O3 on O5 | O2 on O3,2,0.02
O2 on O3 | O4 on O2,1,0.01
O5 on O3 | O4 on O5,1,0.01
