canonical_index,family_index,family,size,object_code,assigned_squared_distance,latent_0,latent_1
0,0,Sphere,1,0,0.18131111562252045,1.3291661739349365,-1.0646847486495972
1,0,Sphere,2,0,0.05868947133421898,1.6216421127319336,-0.9307816624641418
2,0,Sphere,3,0,0.04033898934721947,1.6209146976470947,-0.8871733546257019
3,0,Sphere,4,0,0.06122696399688721,1.3911025524139404,-0.8906133770942688
4,0,Sphere,5,0,0.11788927763700485,1.8646750450134277,-0.8339537382125854
5,0,Sphere,6,0,0.1462188959121704,1.8428887128829956,-0.9439737200737
6,0,Sphere,7,0,0.39939698576927185,1.5786926746368408,-1.3310513496398926
7,0,Sphere,8,0,0.03553437814116478,1.6833776235580444,-0.5679726600646973
8,0,Sphere,9,0,0.3397543430328369,1.6797153949737549,-0.1318368762731552
9,0,Sphere,10,0,0.5270304679870605,1.7355304956436157,0.0017073913477361202
10,1,Cube,1,2,0.2505984306335449,0.8158040046691895,1.5082886219024658
11,1,Cube,2,2,0.5421950221061707,0.6329032778739929,1.7169333696365356
12,1,Cube,3,2,0.15426945686340332,0.9655252695083618,1.6161375045776367
13,1,Cube,4,2,0.2429811805486679,0.8842884302139282,1.675909399986267
14,1,Cube,5,2,0.09493612498044968,1.0018739700317383,1.4150058031082153
15,1,Cube,6,2,0.26278185844421387,1.3304249048233032,0.9147914052009583
16,1,Cube,7,2,0.11788774281740189,1.4750213623046875,1.1260392665863037
17,1,Cube,8,2,0.4116852283477783,1.9011058807373047,1.1780130863189697
18,1,Cube,9,2,0.34573790431022644,1.832228183746338,1.1572517156600952
19,1,Cube,10,2,0.8126535415649414,2.150930881500244,1.102833867073059
20,2,V. cylinder,1,2,0.04856085777282715,1.0893917083740234,1.4271252155303955
21,2,V. cylinder,2,2,0.05385160073637962,1.0780715942382812,1.4138410091400146
22,2,V. cylinder,3,2,0.3413097858428955,0.8939062356948853,1.8373361825942993
23,2,V. cylinder,4,2,0.31052494049072266,1.138859748840332,1.9573928117752075
24,2,V. cylinder,5,2,0.05991721525788307,1.092833399772644,1.3135900497436523
25,2,V. cylinder,6,2,0.20134137570858002,1.1028952598571777,1.825180172920227
26,2,V. cylinder,7,2,0.026357652619481087,1.2321237325668335,1.5695834159851074
27,2,V. cylinder,8,2,0.03851700201630592,1.1994251012802124,1.5893065929412842
28,2,V. cylinder,9,2,0.260022908449173,0.8631231188774109,1.6730467081069946
29,2,V. cylinder,10,2,0.03330802917480469,1.1512207984924316,1.3365870714187622
30,3,H. cylinder,1,3,0.11208914965391159,-0.7928920984268188,-2.1032462120056152
31,3,H. cylinder,2,3,0.5630731582641602,-1.2153904438018799,-2.2617363929748535
32,3,H. cylinder,3,3,0.16749192774295807,-0.8010143041610718,-2.4259231090545654
33,3,H. cylinder,4,4,0.1851177215576172,0.09795013815164566,-2.0673818588256836
34,3,H. cylinder,5,3,0.1550586223602295,-0.1994604468345642,-1.899686574935913
35,3,H. cylinder,6,4,0.33411598205566406,0.07274364680051804,-2.5702719688415527
36,3,H. cylinder,7,4,0.28205153346061707,0.2039952576160431,-2.626183271408081
37,3,H. cylinder,8,4,0.2192964404821396,0.7115808129310608,-2.614531993865967
38,3,H. cylinder,9,4,0.21197034418582916,0.7575277090072632,-2.5800132751464844
39,3,H. cylinder,10,4,0.32041454315185547,1.0374360084533691,-2.3968610763549805
40,4,Cup,1,1,0.07523369044065475,-1.3222978115081787,1.3317005634307861
41,4,Cup,2,1,0.1867217868566513,-1.4772452116012573,1.3749580383300781
42,4,Cup,3,1,0.10275673121213913,-1.3054312467575073,1.1331584453582764
43,4,Cup,4,1,0.1402146816253662,-1.4224061965942383,1.3351234197616577
44,4,Cup,5,1,0.014960289932787418,-1.140135645866394,1.404888391494751
45,4,Cup,6,1,0.03886055946350098,-0.8796348571777344,1.2219626903533936
46,4,Cup,7,1,0.08805393427610397,-1.098142147064209,1.6168092489242554
47,4,Cup,8,1,0.01668691821396351,-1.0062679052352905,1.4465314149856567
48,4,Cup,9,1,0.013000966049730778,-1.0326725244522095,1.4372903108596802
49,4,Cup,10,1,0.05617666617035866,-1.2804486751556396,1.2774657011032104
