object_code,canonical_count,canonical_fraction,ema_training_occupancy
0,10,0.2,0.20303872325028405
1,10,0.2,0.19998263778033348
2,20,0.4,0.4028407716255095
3,4,0.08,0.08508066377248509
4,6,0.12,0.10905720357138786
