model,seed,level,epoch,train_total,train_effect,train_vq,eval_total,eval_effect,eval_vq,active_codes,ema_used_codes,step_counter,last_check_step,surprise_streak,distance_mean,distance_p90,distance_p95,distance_max,surprise_support
dynamic,3,1,1,6.2085849571228025,6.193124039967855,0.015460922991236052,6.005763751665751,6.005763751665751,0.0,1.0,1.0,10.0,0.0,0.0,,,,,
dynamic,3,1,2,5.889739793141683,5.865843938191731,0.02389583577712377,5.685678637822469,5.685678637822469,0.0,1.0,1.0,20.0,0.0,0.0,,,,,
dynamic,3,1,3,5.607062975565593,5.557962786356608,0.04910018006960551,5.393189395268758,5.393189395268758,0.0,1.0,1.0,30.0,0.0,0.0,,,,,
dynamic,3,1,4,5.368112239837647,5.277850036621094,0.09026222050189972,5.1308809185028075,5.1308809185028075,0.0,1.0,1.0,40.0,0.0,0.0,,,,,
dynamic,3,1,5,5.170238246917725,5.026317583719889,0.1439206478993098,4.894523579279582,4.894523579279582,0.0,1.0,1.0,50.0,0.0,0.0,,,,,
dynamic,3,1,6,5.031773643493652,4.798577238718669,0.23319636046886444,4.6719153785705565,4.6719153785705565,0.0,1.0,1.0,60.0,0.0,0.0,,,,,
dynamic,3,1,7,4.944724000295003,4.580676714579265,0.36404730955759684,4.458358503977458,4.458358503977458,0.0,1.0,1.0,70.0,0.0,0.0,,,,,
dynamic,3,1,8,4.92698564529419,4.371085402170817,0.5559002153078715,4.25510187625885,4.25510187625885,0.0,1.0,1.0,80.0,0.0,0.0,,,,,
dynamic,3,1,9,5.006722704569499,4.170391864776612,0.8363308159510294,4.057317503293356,4.057317503293356,0.0,1.0,1.0,90.0,0.0,0.0,,,,,
dynamic,3,1,10,5.1218526077270505,3.9799212805430093,1.1419312763214111,3.883690439860026,3.883690439860026,0.0,1.0,1.0,100.0,0.0,0.0,,,,,
dynamic,3,1,11,5.294288132985433,3.813988135655721,1.4803000275293987,3.72354807694753,3.72354807694753,0.0,1.0,1.0,110.0,0.0,0.0,,,,,
dynamic,3,1,12,5.3957865524291995,3.669018443425496,1.7267681090037028,3.5905470911661785,3.5905470911661785,0.0,1.0,1.0,120.0,0.0,0.0,,,,,
dynamic,3,1,13,5.379295902252197,3.533241243362427,1.8460547224680584,3.4603631353378295,3.4603631353378295,0.0,1.0,1.0,130.0,0.0,0.0,,,,,
dynamic,3,1,14,5.323271045684814,3.4084834671020507,1.9147876421610515,3.336344418525696,3.336344418525696,0.0,1.0,1.0,140.0,0.0,0.0,,,,,
dynamic,3,1,15,5.231704190572103,3.2905350716908774,1.9411691665649413,3.2306576665242512,3.2306576665242512,0.0,1.0,1.0,150.0,0.0,0.0,,,,,
dynamic,3,1,16,5.161083138783773,3.187589931488037,1.9734932327270507,3.133654923439026,3.133654923439026,0.0,1.0,1.0,160.0,0.0,0.0,,,,,
dynamic,3,1,17,5.048767967224121,3.092883424758911,1.9558845520019532,3.0391079584757485,3.0391079584757485,0.0,1.0,1.0,170.0,0.0,0.0,,,,,
dynamic,3,1,18,4.928780746459961,3.001541566848755,1.9272391414642334,2.9512348143259683,2.9512348143259683,0.0,1.0,1.0,180.0,0.0,0.0,,,,,
dynamic,3,1,19,4.78328400293986,2.9167095851898193,1.866574494043986,2.870856606165568,2.870856606165568,0.0,1.0,1.0,190.0,0.0,0.0,,,,,
dynamic,3,1,20,4.664442354838053,2.838673928578695,1.8257684008280437,2.795220381418864,2.795220381418864,0.0,1.0,1.0,200.0,0.0,0.0,,,,,
dynamic,3,1,21,4.512559223175049,2.7648709138234455,1.7476883522669475,2.7265472634633383,2.7265472634633383,0.0,1.0,1.0,210.0,201.0,1.0,14.167009353637695,35.71234130859375,67.29119873046875,175.68539428710938,248.0
dynamic,3,1,22,4.361244869232178,2.6984675852457682,1.6627773173650107,2.6598538176218667,2.6598538176218667,0.0,1.0,1.0,220.0,201.0,1.0,14.167009353637695,35.71234130859375,67.29119873046875,175.68539428710938,248.0
dynamic,3,1,23,4.18699371655782,2.632668972015381,1.5543247699737548,2.5992105134328205,2.5992105134328205,0.0,1.0,1.0,230.0,201.0,1.0,14.167009353637695,35.71234130859375,67.29119873046875,175.68539428710938,248.0
dynamic,3,1,24,4.066415023803711,2.5754645442962647,1.4909504922231038,2.5421241029103596,2.5421241029103596,0.0,1.0,1.0,240.0,201.0,1.0,14.167009353637695,35.71234130859375,67.29119873046875,175.68539428710938,248.0
dynamic,3,1,25,3.924921003977458,2.518602104187012,1.4063188997904459,2.488867635726929,2.488867635726929,0.0,1.0,1.0,250.0,201.0,1.0,14.167009353637695,35.71234130859375,67.29119873046875,175.68539428710938,248.0
dynamic,3,1,26,3.7769063313802085,2.4665189615885414,1.310387347539266,2.4361466630299886,2.4361466630299886,0.0,1.0,1.0,260.0,201.0,1.0,14.167009353637695,35.71234130859375,67.29119873046875,175.68539428710938,248.0
dynamic,3,1,27,3.6965736389160155,2.415351543426514,1.281222095489502,2.3875274244944253,2.3875274244944253,0.0,1.0,1.0,270.0,201.0,1.0,14.167009353637695,35.71234130859375,67.29119873046875,175.68539428710938,248.0
dynamic,3,1,28,3.6667184193929034,2.368627602259318,1.2980908091862997,2.3431138229370116,2.3431138229370116,0.0,1.0,1.0,280.0,201.0,1.0,14.167009353637695,35.71234130859375,67.29119873046875,175.68539428710938,248.0
dynamic,3,1,29,3.65875514348348,2.325592419306437,1.3331626987457275,2.3013365014394123,2.3013365014394123,0.0,1.0,1.0,290.0,201.0,1.0,14.167009353637695,35.71234130859375,67.29119873046875,175.68539428710938,248.0
dynamic,3,1,30,3.6413954448699952,2.284594809214274,1.3568006229400635,2.2627058537801106,2.2627058537801106,0.0,1.0,1.0,300.0,201.0,1.0,14.167009353637695,35.71234130859375,67.29119873046875,175.68539428710938,248.0
dynamic,3,1,31,4.373210849761963,3.282812468210856,1.0903983942667643,3.2664873441060385,3.2664873441060385,0.0,2.0,2.0,310.0,301.0,0.0,11.211830139160156,33.35683822631836,52.82698059082031,152.36297607421875,242.0
