canonical_index,family_index,family,size,object_code,assigned_squared_distance,latent_0,latent_1
0,0,Sphere,1,1,0.1777641922235489,0.5978613495826721,1.8975785970687866
1,0,Sphere,2,1,0.0358579196035862,0.5124372839927673,1.654526948928833
2,0,Sphere,3,1,0.3538990020751953,0.46190345287323,2.14038348197937
3,0,Sphere,4,1,0.08861589431762695,0.5238316655158997,1.7981609106063843
4,0,Sphere,5,1,0.357053279876709,0.6452294588088989,2.0759027004241943
5,0,Sphere,6,1,0.44440218806266785,0.39205849170684814,2.221320152282715
6,0,Sphere,7,1,0.3238334655761719,-0.08508188277482986,1.9218707084655762
7,0,Sphere,8,1,0.26702001690864563,-0.12208329141139984,1.7644147872924805
8,0,Sphere,9,1,0.6902074217796326,-0.46438121795654297,1.3954293727874756
9,0,Sphere,10,1,0.4380617141723633,-0.28848162293434143,1.3843640089035034
10,1,Cube,1,3,0.07236290723085403,0.8252682685852051,0.43175023794174194
11,1,Cube,2,3,0.04408562183380127,0.8675116300582886,0.5276361703872681
12,1,Cube,3,3,0.02200770564377308,0.7591457366943359,0.536857008934021
13,1,Cube,4,3,0.07517540454864502,0.5745920538902283,0.4511938989162445
14,1,Cube,5,3,0.08098047971725464,0.8806155920028687,0.44333764910697937
15,1,Cube,6,3,0.10494518280029297,0.8531472682952881,0.38386473059654236
16,1,Cube,7,3,0.1956452876329422,1.111311674118042,0.4671723544597626
17,1,Cube,8,3,0.6097524762153625,1.4739431142807007,0.46302729845046997
18,1,Cube,9,3,0.9350712895393372,1.6437236070632935,0.3820141851902008
19,1,Cube,10,3,1.587623119354248,1.9152215719223022,0.27003854513168335
20,2,V. cylinder,1,1,0.5067579746246338,1.0281403064727783,1.337110996246338
21,2,V. cylinder,2,3,0.12355602532625198,1.0690913200378418,0.7484725713729858
22,2,V. cylinder,3,3,0.5456320643424988,1.3723284006118774,1.0352132320404053
23,2,V. cylinder,4,1,0.5345437526702881,1.062462568283081,1.3886165618896484
24,2,V. cylinder,5,3,0.3713803291320801,1.291239619255066,0.9040728807449341
25,2,V. cylinder,6,3,0.1844109296798706,1.1469142436981201,0.7562203407287598
26,2,V. cylinder,7,3,0.12615931034088135,1.0047681331634521,0.898719072341919
27,2,V. cylinder,8,3,0.08020555973052979,0.981172502040863,0.7998812794685364
28,2,V. cylinder,9,3,0.08377128839492798,1.0129386186599731,0.6998593211174011
29,2,V. cylinder,10,3,0.029983999207615852,0.8770655393600464,0.7622026801109314
30,3,H. cylinder,1,2,0.1414320468902588,0.6975132822990417,-0.23795732855796814
31,3,H. cylinder,2,2,1.152559518814087,0.6486601233482361,-1.215351939201355
32,3,H. cylinder,3,2,0.6159950494766235,0.7003331184387207,-0.8808500170707703
33,3,H. cylinder,4,2,0.08426886796951294,0.5303140878677368,0.012515434063971043
34,3,H. cylinder,5,2,0.2713853120803833,0.2969224750995636,0.32826587557792664
35,3,H. cylinder,6,2,0.16551558673381805,0.3549862802028656,0.2137114256620407
36,3,H. cylinder,7,2,0.7558850049972534,-0.18005378544330597,0.5162396430969238
37,3,H. cylinder,8,2,0.9114485383033752,-0.3826536238193512,0.4496905207633972
38,3,H. cylinder,9,2,0.29213571548461914,0.12225013971328735,0.30936241149902344
39,3,H. cylinder,10,2,0.2921537756919861,0.2640496790409088,0.3451854884624481
40,4,Cup,1,0,0.033849239349365234,0.6430671215057373,-2.6058404445648193
41,4,Cup,2,0,1.0407037734985352,0.3374800384044647,-3.710181951522827
42,4,Cup,3,0,0.22654058039188385,0.17565400898456573,-3.0621230602264404
43,4,Cup,4,0,0.7079753875732422,-0.17283995449543,-3.224813938140869
44,4,Cup,5,0,0.16159917414188385,0.2456813007593155,-3.0234506130218506
45,4,Cup,6,0,0.422698050737381,0.022499551996588707,-3.1572539806365967
46,4,Cup,7,0,0.1753244549036026,0.33386197686195374,-3.0911238193511963
47,4,Cup,8,0,0.47101542353630066,0.9964334964752197,-2.2426090240478516
48,4,Cup,9,0,0.18908405303955078,0.36328327655792236,-3.118138551712036
49,4,Cup,10,0,0.6567240357398987,0.998366117477417,-3.3282806873321533
