experiment,n_seeds,pairwise_ari_mean,pairwise_ari_min,pairwise_nmi_mean,pairwise_nmi_min,mean_offdiagonal_coassignment,best_level1_mse_mean,best_level1_mse_std,active_k_mean,active_k_std,used_k_canonical_mean,used_k_canonical_std,perplexity_canonical_mean,perplexity_canonical_std,minimum_code_fraction_canonical_mean,minimum_code_fraction_canonical_std,shape_purity_canonical_mean,shape_purity_canonical_std,affordance_purity_canonical_mean,affordance_purity_canonical_std,mean_assigned_squared_distance_mean,mean_assigned_squared_distance_std,p95_assigned_squared_distance_mean,p95_assigned_squared_distance_std
l1_kobj3,3,0.6046583009340719,0.4583741429970617,0.6793668574097499,0.5868806164407256,0.36544217687074826,0.37440564515690006,0.06294253457265364,3.0,0.0,3.0,0.0,2.8190207173196424,0.20144740539153563,0.22666666666666666,0.023094010767585018,0.6,0.0,0.8000000000000002,1.3597399555105182e-16,1.152134855588277,0.08115551943018795,3.988803112506865,0.9526263719482315
l1_kobj4,3,0.9735018286869032,0.9602527430303548,0.966937404590326,0.9504061068854891,0.2658503401360544,0.15421644867294365,0.01841213130587022,4.0,0.0,4.0,0.0,3.7842356391374294,0.004378431437870605,0.18666666666666668,0.011547005383792525,0.7866666666666667,0.011547005383792525,0.9866666666666667,0.011547005383792525,0.2669813235600789,0.03157506702496567,0.7316299736499783,0.05394506886959898
l1_kobj6,3,0.7456476732578848,0.654498174726209,0.8615971598418635,0.8084709773473765,0.22693877551020408,0.23846119086775516,0.19057354588042297,4.666666666666667,1.1547005383792517,4.666666666666667,1.1547005383792517,4.468656545910803,1.1048362955613364,0.16666666666666666,0.05773502691896258,0.8400000000000002,0.06928203230275509,0.9866666666666667,0.023094010767585053,0.25879961252212524,0.09231357436375227,0.7599727332592008,0.22324457773125161
l1_kobj8,3,0.9228682525798254,0.9083266813011375,0.8961286644861849,0.8847972433122666,0.24870748299319725,0.15199231186674703,0.024912211877747607,5.333333333333333,0.5773502691896258,5.333333333333333,0.5773502691896258,4.304748606980255,0.027546054373103302,0.05333333333333334,0.030550504633038936,0.7933333333333333,0.011547005383792525,0.9933333333333333,0.011547005383792525,0.21497982243696848,0.06503688845807147,0.6057040964563684,0.22354158106303942
