object_code,canonical_count,canonical_fraction,ema_training_occupancy
0,20,0.4,0.396454144341544
1,10,0.2,0.19995819197402764
2,3,0.06,0.062059002790334584
3,8,0.16,0.1313328036927282
4,9,0.18,0.21019585720136552
