canonical_index,family_index,family,size,object_code,assigned_squared_distance,latent_0,latent_1
0,0,Sphere,1,0,0.16496609151363373,-0.2419663518667221,0.3960539698600769
1,0,Sphere,2,0,0.13824577629566193,-0.27716881036758423,0.3975466787815094
2,0,Sphere,3,0,0.21795646846294403,-0.8179722428321838,0.0700838714838028
3,0,Sphere,4,0,0.17587804794311523,-0.32879820466041565,0.2126368284225464
4,0,Sphere,5,0,0.02800959162414074,-0.5918382406234741,0.3377113938331604
5,0,Sphere,6,0,0.04616338014602661,-0.4296890199184418,0.5636568069458008
6,0,Sphere,7,0,0.04292994737625122,-0.6323544383049011,0.2922987937927246
7,0,Sphere,8,0,0.23645399510860443,-1.0472676753997803,0.7569155097007751
8,0,Sphere,9,0,0.392463356256485,-1.1408686637878418,0.8686612844467163
9,0,Sphere,10,0,1.1340641975402832,-1.5119150876998901,1.1033211946487427
10,1,Cube,1,2,0.004042387008666992,-2.146106004714966,-1.3039250373840332
11,1,Cube,2,2,0.07212542742490768,-1.9080784320831299,-1.5042896270751953
12,1,Cube,3,2,0.037535663694143295,-1.928282618522644,-1.4172827005386353
13,1,Cube,4,2,0.22745943069458008,-2.4313998222351074,-1.6255029439926147
14,1,Cube,5,2,0.2132096290588379,-2.27413010597229,-1.7203633785247803
15,1,Cube,6,2,0.14603281021118164,-2.0748071670532227,-1.6822582483291626
16,1,Cube,7,2,0.20731307566165924,-2.253708600997925,-1.7221527099609375
17,1,Cube,8,2,0.27777907252311707,-2.40322208404541,-1.718531608581543
18,1,Cube,9,2,0.39238688349723816,-2.50419545173645,-1.7635276317596436
19,1,Cube,10,2,0.2544074058532715,-2.3071088790893555,-1.7518812417984009
20,2,V. cylinder,1,2,0.08168936520814896,-2.13921856880188,-1.0200390815734863
21,2,V. cylinder,2,2,0.07392477989196777,-2.3530702590942383,-1.3283278942108154
22,2,V. cylinder,3,2,0.14031149446964264,-2.4544525146484375,-1.3456416130065918
23,2,V. cylinder,4,2,0.2518281936645508,-2.579866647720337,-1.2324308156967163
24,2,V. cylinder,5,2,0.278077095746994,-2.593602180480957,-1.4305551052093506
25,2,V. cylinder,6,2,0.3218581974506378,-2.6266040802001953,-1.46131432056427
26,2,V. cylinder,7,2,0.164794921875,-2.446751832962036,-1.4796850681304932
27,2,V. cylinder,8,2,0.1389598846435547,-2.168407678604126,-1.6629669666290283
28,2,V. cylinder,9,2,0.2181544303894043,-2.100196599960327,-1.7669355869293213
29,2,V. cylinder,10,2,0.6437807083129883,-1.843631386756897,-2.0661301612854004
30,3,H. cylinder,1,4,0.02963516116142273,0.44860997796058655,-0.09490963071584702
31,3,H. cylinder,2,4,0.07469650357961655,0.5846048593521118,-0.1549859493970871
32,3,H. cylinder,3,4,0.05472709611058235,0.5496625900268555,-0.1980397254228592
33,3,H. cylinder,4,4,0.03456779941916466,0.15720270574092865,-0.30146315693855286
34,3,H. cylinder,5,3,0.17083512246608734,0.08076508343219757,-0.6467612981796265
35,3,H. cylinder,6,4,0.3766114115715027,0.35052490234375,-0.8171582221984863
36,3,H. cylinder,7,4,0.0723474845290184,0.41658833622932434,-0.4538365304470062
37,3,H. cylinder,8,4,0.0014212726382538676,0.2805483043193817,-0.21778513491153717
38,3,H. cylinder,9,3,0.14845341444015503,0.0824560821056366,-0.565241813659668
39,3,H. cylinder,10,3,0.040904492139816284,-0.43735161423683167,-0.5979509949684143
40,4,Cup,1,1,0.02783012203872204,2.7791531085968018,0.31024566292762756
41,4,Cup,2,1,0.008757591247558594,2.7486462593078613,0.38168567419052124
42,4,Cup,3,1,0.03047323226928711,2.6112096309661865,0.374382883310318
43,4,Cup,4,1,0.12161111831665039,2.918604850769043,0.7824404239654541
44,4,Cup,5,1,0.10077190399169922,2.7389168739318848,0.7922258973121643
45,4,Cup,6,1,0.09450768679380417,2.4599599838256836,0.5655896067619324
46,4,Cup,7,1,0.08919573575258255,2.533118724822998,0.27385932207107544
47,4,Cup,8,1,0.06990622729063034,2.7692136764526367,0.21118108928203583
48,4,Cup,9,1,0.18730638921260834,2.547348976135254,0.09473872929811478
49,4,Cup,10,1,0.5118626952171326,2.9539501667022705,-0.21174204349517822
