run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
54,True,0.8694398890074808,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
55,True,0.8896838439977728,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
56,True,0.8861660060065333,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
57,True,0.8640572740114294,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
58,True,0.8733141840202734,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
59,True,0.87229539299733,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
60,True,0.8769719830015674,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
61,True,0.8763576410128735,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
62,True,0.8713054149993695,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
63,True,0.8680294319929089,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
64,True,0.8493296660017222,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
65,True,0.8572746179997921,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
66,True,0.884802595974179,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
67,True,0.879996731004212,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
68,True,0.858473749976838,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
69,True,0.8591173889872152,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
70,True,0.863058185990667,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
71,True,0.8868004709947854,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
72,True,0.8734114459948614,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
73,True,0.883324212016305,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
74,True,0.8828226659970824,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
75,True,0.8504832450125832,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
76,True,0.8649485530040693,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
77,True,0.8755497980164364,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
78,True,0.8742475750041194,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
79,True,0.8788847179966979,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
80,True,0.8676705560064875,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
81,True,0.8726577990164515,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
82,True,0.8727872000017669,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
83,True,0.8436398610065226,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
84,True,0.8825736819999292,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
85,True,0.8655696650093887,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
86,True,0.8613077840127517,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
87,True,0.844693405990256,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
88,True,0.8850187369971536,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
89,True,0.8522116850072052,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
90,True,0.8857532489928417,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
91,True,0.8750017449783627,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
92,True,0.8684065220004413,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
93,True,0.8691270800190978,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
94,True,0.865555624011904,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
95,True,0.8818375540140551,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
96,True,0.8426999479997903,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
97,True,0.8842582190118264,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
98,True,0.8693931149900891,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
99,True,0.8712380729848519,makebase O4,O2 on O4,O2 on O4 | O1 on O2,0.9680021446410001,True,9,2,
