canonical_index,family_index,family,size,object_code,assigned_squared_distance,latent_0,latent_1
0,0,Sphere,1,2,0.0752982497215271,-0.5612354874610901,-0.43462255597114563
1,0,Sphere,2,2,0.2743220031261444,-0.30213987827301025,-0.2929895520210266
2,0,Sphere,3,2,0.02664053626358509,-0.968133807182312,-0.2772015929222107
3,0,Sphere,4,2,0.163563534617424,-0.43666693568229675,-0.23045843839645386
4,0,Sphere,5,2,0.20633667707443237,-0.4496711194515228,-0.09192916005849838
5,0,Sphere,6,2,0.1331101655960083,-0.5472270250320435,-0.11192861199378967
6,0,Sphere,7,2,0.01498508546501398,-0.8127759695053101,-0.22918598353862762
7,0,Sphere,8,2,0.17023414373397827,-1.2193970680236816,-0.23793916404247284
8,0,Sphere,9,2,0.504953145980835,-1.5318704843521118,-0.39550623297691345
9,0,Sphere,10,2,0.35706019401550293,-1.419857382774353,-0.3713686466217041
10,1,Cube,1,3,0.10527516156435013,-2.8423805236816406,-1.4934138059616089
11,1,Cube,2,3,0.0480804480612278,-2.608658790588379,-1.4500688314437866
12,1,Cube,3,3,0.09349250793457031,-2.3533740043640137,-1.3187748193740845
13,1,Cube,4,3,0.07129430770874023,-2.753389596939087,-1.4792040586471558
14,1,Cube,5,3,0.05788278207182884,-2.687023878097534,-1.471483588218689
15,1,Cube,6,3,0.014883040450513363,-2.596896171569824,-1.3453477621078491
16,1,Cube,7,3,0.01704549603164196,-2.754929542541504,-1.1604300737380981
17,1,Cube,8,3,0.11971236020326614,-2.5649774074554443,-0.8981310129165649
18,1,Cube,9,3,0.08071565628051758,-2.8393843173980713,-1.0249577760696411
19,1,Cube,10,3,0.3681187331676483,-2.4969468116760254,-0.6463868618011475
20,2,V. cylinder,1,3,0.2555570900440216,-3.1382575035095215,-1.3543548583984375
21,2,V. cylinder,2,3,0.11973381042480469,-2.4425172805786133,-0.9552255868911743
22,2,V. cylinder,3,3,0.041886329650878906,-2.5994205474853516,-1.035207748413086
23,2,V. cylinder,4,3,0.0255355853587389,-2.739750862121582,-1.3644917011260986
24,2,V. cylinder,5,3,0.05428266525268555,-2.4492709636688232,-1.1113239526748657
25,2,V. cylinder,6,3,0.04233884811401367,-2.4585046768188477,-1.3162338733673096
26,2,V. cylinder,7,3,0.06483268737792969,-2.762573003768921,-1.4612022638320923
27,2,V. cylinder,8,3,0.04220438003540039,-2.5813724994659424,-1.428812861442566
28,2,V. cylinder,9,3,0.42984482645988464,-3.177727699279785,-1.6194382905960083
29,2,V. cylinder,10,3,0.025478364899754524,-2.491313934326172,-1.1999469995498657
30,3,H. cylinder,1,1,0.2035190314054489,0.7582323551177979,-0.5425072908401489
31,3,H. cylinder,2,1,0.9045025110244751,1.3923697471618652,-0.2652868926525116
32,3,H. cylinder,3,1,0.9824479818344116,1.4329476356506348,-0.2552754878997803
33,3,H. cylinder,4,1,0.06733471155166626,0.7014060020446777,-0.2358362227678299
34,3,H. cylinder,5,1,0.1247866153717041,0.1375768631696701,-0.3989593982696533
35,3,H. cylinder,6,1,0.02230900712311268,0.29401344060897827,-0.23764659464359283
36,3,H. cylinder,7,1,0.002217903733253479,0.4132310450077057,-0.25739139318466187
37,3,H. cylinder,8,1,0.04072995483875275,0.2662602365016937,-0.12184355407953262
38,3,H. cylinder,9,1,0.3768046498298645,-0.1487322300672531,-0.05488301068544388
39,3,H. cylinder,10,1,0.2658883333206177,-0.005851290188729763,0.03451382368803024
40,4,Cup,1,0,0.06027030944824219,3.533754348754883,0.2102305144071579
41,4,Cup,2,0,0.5089025497436523,2.628744125366211,-0.09317625313997269
42,4,Cup,3,0,0.49456021189689636,4.008277416229248,0.22317881882190704
43,4,Cup,4,0,0.8139104843139648,4.190792560577393,0.31887972354888916
44,4,Cup,5,0,0.6463766694068909,4.086745262145996,0.32664865255355835
45,4,Cup,6,0,0.05163097381591797,3.5431339740753174,0.11464595049619675
46,4,Cup,7,0,0.2678203582763672,3.822665214538574,0.20429299771785736
47,4,Cup,8,0,0.015039443969726562,3.436100482940674,0.12355231493711472
48,4,Cup,9,0,0.43259045481681824,3.9741392135620117,0.11516808718442917
49,4,Cup,10,0,0.28568267822265625,3.8191399574279785,-0.08686531335115433
