run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
80,True,2.3851931169920135,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
81,True,2.337439408991486,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
82,True,2.578877541993279,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O4 on O3,0.8649957754736535,True,12,3,
83,True,2.2599989119917154,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
84,True,2.3792337710037827,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O1 on O5,0.36420834502138605,True,12,3,
85,True,2.4678264489921276,makebase O5,O2 on O5,O2 on O5 | O3 on O2 | O1 on O3,0.2127618307575,True,12,3,
86,True,2.599071269010892,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O4 on O3,0.8649957754736535,True,12,3,
87,True,2.2697706839826424,makebase O3,O2 on O3,O2 on O3 | O4 on O2 | O1 on O4,0.19935888039352404,True,12,3,
88,True,2.5244876199867576,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O1 on O3,0.21898276272902745,True,12,3,
89,True,2.4248363410006277,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
90,True,2.590965610987041,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O1 on O5,0.36420834502138605,True,12,3,
91,True,2.3265045269799884,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O1 on O4,0.19935888039352404,True,12,3,
92,True,2.5953978129837196,makebase O3,O5 on O3,O5 on O3 | O4 on O5 | O1 on O4,0.19935888039352404,True,12,3,
93,True,2.3882782959844917,makebase O2,O5 on O2,O5 on O2 | O4 on O5 | O3 on O4,0.8547682735378839,True,12,3,
94,True,2.5870118089951575,makebase O2,O5 on O2,O5 on O2 | O3 on O5 | O4 on O3,0.8649957754736535,True,12,3,
95,True,2.265534391015535,makebase O2,O3 on O2,O3 on O2 | O4 on O3 | O5 on O4,0.8547682735378839,True,12,3,
96,True,2.395671781996498,makebase O2,O3 on O2,O3 on O2 | O5 on O3 | O4 on O5,0.8649957754736535,True,12,3,
97,True,2.532472463994054,makebase O2,O5 on O2,O5 on O2 | O4 on O5 | O1 on O4,0.19935888039352404,True,12,3,
98,True,2.2580557230103295,makebase O3,O2 on O3,O2 on O3 | O4 on O2 | O1 on O4,0.19935888039352404,True,12,3,
99,True,2.3341336739831604,makebase O3,O2 on O3,O2 on O3 | O5 on O2 | O4 on O5,0.8649957754736535,True,12,3,
