model,seed,level,epoch,train_total,train_effect,train_vq,eval_total,eval_effect,eval_vq,active_codes,ema_used_codes,step_counter,last_check_step,surprise_streak,distance_mean,distance_p90,distance_p95,distance_max,surprise_support
dynamic,1,1,1,4.052270838419596,4.04020003636678,0.012070810397466023,3.947700392405192,3.947700392405192,0.0,1.0,1.0,10.0,0.0,0.0,,,,,
dynamic,1,1,2,3.9060408719380697,3.8801067606608073,0.02593408261736234,3.7932541131973267,3.7932541131973267,0.0,1.0,1.0,20.0,0.0,0.0,,,,,
dynamic,1,1,3,3.7804508145650226,3.730981324513753,0.049469469686349236,3.648381603558858,3.648381603558858,0.0,1.0,1.0,30.0,0.0,0.0,,,,,
dynamic,1,1,4,3.673355903625488,3.5913195514678957,0.08203634301821391,3.5175631475448608,3.5175631475448608,0.0,1.0,1.0,40.0,0.0,0.0,,,,,
dynamic,1,1,5,3.5909136009216307,3.466044511795044,0.12486910223960876,3.3945112307866414,3.3945112307866414,0.0,1.0,1.0,50.0,0.0,0.0,,,,,
dynamic,1,1,6,3.5212585322062173,3.3447025489807127,0.17655597845713297,3.278633615175883,3.278633615175883,0.0,1.0,1.0,60.0,0.0,0.0,,,,,
dynamic,1,1,7,3.474933176040649,3.2317952791849773,0.2431378932793935,3.168537041346232,3.168537041346232,0.0,1.0,1.0,70.0,0.0,0.0,,,,,
dynamic,1,1,8,3.4745658461252846,3.123743371963501,0.3508224654197693,3.061705265045166,3.061705265045166,0.0,1.0,1.0,80.0,0.0,0.0,,,,,
dynamic,1,1,9,3.5135487937927246,3.0168844413757325,0.49666431109110515,2.959853057861328,2.959853057861328,0.0,1.0,1.0,90.0,0.0,0.0,,,,,
dynamic,1,1,10,3.6423879432678223,2.916030467351278,0.7263574926058451,2.8610593398412068,2.8610593398412068,0.0,1.0,1.0,100.0,0.0,0.0,,,,,
dynamic,1,1,11,3.805264253616333,2.820547278722127,0.9847169748942057,2.7667448139190673,2.7667448139190673,0.0,1.0,1.0,110.0,0.0,0.0,,,,,
dynamic,1,1,12,3.947948964436849,2.7280118306477865,1.219937130610148,2.6773750607172646,2.6773750607172646,0.0,1.0,1.0,120.0,0.0,0.0,,,,,
dynamic,1,1,13,4.062111422220866,2.6435909557342527,1.418520482381185,2.5952094332377116,2.5952094332377116,0.0,1.0,1.0,130.0,0.0,0.0,,,,,
dynamic,1,1,14,4.148281345367431,2.561224021911621,1.5870572805404664,2.5164072116216025,2.5164072116216025,0.0,1.0,1.0,140.0,0.0,0.0,,,,,
dynamic,1,1,15,4.185126965840658,2.4847684224446613,1.7003584798177083,2.4409844779968264,2.4409844779968264,0.0,1.0,1.0,150.0,0.0,0.0,,,,,
dynamic,1,1,16,4.190914700826009,2.409379679361979,1.7815349912643432,2.371048803329468,2.371048803329468,0.0,1.0,1.0,160.0,0.0,0.0,,,,,
dynamic,1,1,17,4.176368611653646,2.342925802866618,1.833442791302999,2.3057234191894533,2.3057234191894533,0.0,1.0,1.0,170.0,0.0,0.0,,,,,
dynamic,1,1,18,4.157083625793457,2.278759428660075,1.8783241669336954,2.244415839513143,2.244415839513143,0.0,1.0,1.0,180.0,0.0,0.0,,,,,
dynamic,1,1,19,4.135862147013347,2.2191791915893555,1.916682866414388,2.1873478921254477,2.1873478921254477,0.0,1.0,1.0,190.0,0.0,0.0,,,,,
dynamic,1,1,20,4.100888226826986,2.165205275217692,1.935682938893636,2.137243315378825,2.137243315378825,0.0,1.0,1.0,200.0,0.0,0.0,,,,,
dynamic,1,1,21,4.03652224222819,2.117347536087036,1.9191747490564983,2.0889626693725587,2.0889626693725587,0.0,1.0,1.0,210.0,201.0,1.0,15.301175117492676,35.55586242675781,72.87122344970703,281.1501159667969,231.0
dynamic,1,1,22,3.986933771769206,2.069961001078288,1.916972689628601,2.044619690577189,2.044619690577189,0.0,1.0,1.0,220.0,201.0,1.0,15.301175117492676,35.55586242675781,72.87122344970703,281.1501159667969,231.0
dynamic,1,1,23,3.966626917521159,2.0271452188491823,1.9394817495346068,2.005662825902303,2.005662825902303,0.0,1.0,1.0,230.0,201.0,1.0,15.301175117492676,35.55586242675781,72.87122344970703,281.1501159667969,231.0
dynamic,1,1,24,3.9351187133789063,1.9914508008956908,1.9436678663889566,1.974294792811076,1.974294792811076,0.0,1.0,1.0,240.0,201.0,1.0,15.301175117492676,35.55586242675781,72.87122344970703,281.1501159667969,231.0
dynamic,1,1,25,3.820155111948649,1.9618396552403767,1.858315461476644,1.9461207262674967,1.9461207262674967,0.0,1.0,1.0,250.0,201.0,1.0,15.301175117492676,35.55586242675781,72.87122344970703,281.1501159667969,231.0
dynamic,1,1,26,3.6556920433044433,1.9360202916463216,1.719671810468038,1.9231077671051025,1.9231077671051025,0.0,1.0,1.0,260.0,201.0,1.0,15.301175117492676,35.55586242675781,72.87122344970703,281.1501159667969,231.0
dynamic,1,1,27,3.427552032470703,1.9144197098414104,1.5131323226292928,1.9036421171824138,1.9036421171824138,0.0,1.0,1.0,270.0,201.0,1.0,15.301175117492676,35.55586242675781,72.87122344970703,281.1501159667969,231.0
