idx,label,slot0_type,slot0_size,slot1_type,slot1_size,slot0_symbol,slot1_symbol,relation_symbol,raw_dx0,raw_dy0,raw_dz0,raw_dx1,raw_dy1,raw_dz1
540,inserted,1,0,4,0,1,2,1,-2.098468780517578,-1.6335220336914062,0.013683393597602844,-2.098468780517578,-1.6335220336914062,0.0
541,inserted,1,0,4,1,1,2,1,-2.5773277282714844,-2.1166839599609375,0.0030440688133239746,-2.5773277282714844,-2.1166839599609375,0.0
590,inserted,1,1,4,0,1,2,1,-2.2534713745117188,-2.2681350708007812,0.008472800254821777,-2.2534713745117188,-2.2681350708007812,0.0
591,inserted,1,1,4,1,1,2,1,-1.2399253845214844,-1.9322662353515625,0.003982603549957275,-1.2399253845214844,-1.9322662353515625,0.0
640,inserted,1,2,4,0,1,2,1,-0.4727783203125,-1.7688980102539062,0.013518556952476501,-0.4727783203125,-1.7688980102539062,0.0
641,inserted,1,2,4,1,1,2,1,-0.9539260864257812,-1.9874076843261719,0.006368979811668396,-0.9539260864257812,-1.9874076843261719,0.0
690,inserted,1,3,4,0,1,2,1,-0.2846641540527344,-1.6743888854980469,0.013749152421951294,-0.2846641540527344,-1.6743888854980469,0.0
691,inserted,1,3,4,1,1,2,1,-0.8581275939941406,-2.1228866577148438,0.01305621862411499,-0.8581275939941406,-2.1228866577148438,0.0
740,inserted,1,4,4,0,1,2,1,-0.8572998046875,-1.8325119018554688,0.022035345435142517,-0.8572998046875,-1.8325119018554688,0.0
741,inserted,1,4,4,1,1,2,1,-1.2464790344238281,-1.89630126953125,0.015259623527526855,-1.2464790344238281,-1.89630126953125,0.0
790,inserted,1,5,4,0,1,2,1,-1.240997314453125,-1.6680679321289062,0.024334058165550232,-1.240997314453125,-1.6680679321289062,0.0
791,inserted,1,5,4,1,1,2,1,-0.9680328369140625,-2.0468597412109375,0.01592034101486206,-0.9680328369140625,-2.0468597412109375,0.0
840,stacked,1,6,4,0,1,2,1,-1.3305320739746094,-2.092029571533203,0.030580982565879822,-1.3305320739746094,-2.092029571533203,0.0
841,inserted,1,6,4,1,1,2,1,-0.6291656494140625,-2.3708343505859375,0.02112005650997162,-0.6291656494140625,-2.3708343505859375,0.0
890,stacked,1,7,4,0,1,2,1,-0.9729957580566406,-2.063037872314453,0.030907273292541504,-0.9729957580566406,-2.063037872314453,0.0
891,inserted,1,7,4,1,1,2,1,-0.6230926513671875,-2.10809326171875,0.023555144667625427,-0.6230926513671875,-2.10809326171875,0.0
940,stacked,1,8,4,0,1,2,1,-1.3806076049804688,-2.049877166748047,0.040517449378967285,-1.3806076049804688,-2.049877166748047,0.0
941,stacked,1,8,4,1,1,2,1,-1.0884132385253906,-2.180316925048828,0.025470927357673645,-1.0884132385253906,-2.180316925048828,0.0
990,stacked,1,9,4,0,1,2,1,-0.5301170349121094,-2.3252334594726562,0.03613121807575226,-0.5301170349121094,-2.3252334594726562,0.0
991,stacked,1,9,4,1,1,2,1,-1.2283096313476562,-2.4986114501953125,0.030419141054153442,-1.2283096313476562,-2.4986114501953125,0.0
1040,inserted,2,0,4,0,1,2,1,-1.0150375366210938,-2.382274627685547,0.006675466895103455,-1.0150375366210938,-2.382274627685547,0.0
1041,inserted,2,0,4,1,1,2,1,-0.31128692626953125,-0.5701065063476562,0.009508341550827026,-0.31128692626953125,-0.5701065063476562,0.0
1090,inserted,2,1,4,0,1,2,1,-3.0160064697265625,-2.2236785888671875,0.017999202013015747,-3.0160064697265625,-2.2236785888671875,0.0
1091,inserted,2,1,4,1,1,2,1,-2.090129852294922,-2.3648643493652344,0.008898988366127014,-2.090129852294922,-2.3648643493652344,0.0
1140,stacked,2,2,4,0,1,2,1,-2.8216896057128906,-1.8917655944824219,0.035018548369407654,-2.8216896057128906,-1.8917655944824219,0.0
1141,inserted,2,2,4,1,1,2,1,-1.3985939025878906,-3.0866241455078125,0.013765990734100342,-1.3985939025878906,-3.0866241455078125,0.0
1190,inserted,2,3,4,0,1,2,1,-0.6830520629882812,-1.572296142578125,0.023628339171409607,-0.6830520629882812,-1.572296142578125,0.0
1191,inserted,2,3,4,1,1,2,1,-0.9226264953613281,-1.1366348266601562,0.014896184206008911,-0.9226264953613281,-1.1366348266601562,0.0
1240,inserted,2,4,4,0,1,2,1,-1.6128959655761719,-1.7602806091308594,0.022799283266067505,-1.6128959655761719,-1.7602806091308594,0.0
1241,inserted,2,4,4,1,1,2,1,-0.23688888549804688,-2.2048988342285156,0.014087960124015808,-0.23688888549804688,-2.2048988342285156,0.0
1290,stacked,2,5,4,0,1,2,1,-1.5717430114746094,-2.2767677307128906,0.02585691213607788,-1.5717430114746094,-2.2767677307128906,0.0
1291,inserted,2,5,4,1,1,2,1,-1.76422119140625,-0.7269706726074219,0.017113298177719116,-1.76422119140625,-0.7269706726074219,0.0
1340,stacked,2,6,4,0,1,2,1,-1.6306991577148438,-1.2927284240722656,0.02786356210708618,-1.6306991577148438,-1.2927284240722656,0.0
1341,inserted,2,6,4,1,1,2,1,-0.5353622436523438,-0.47316741943359375,0.024186834692955017,-0.5353622436523438,-0.47316741943359375,0.0
1390,stacked,2,7,4,0,1,2,1,-2.37957763671875,-1.256134033203125,0.0323219895362854,-2.37957763671875,-1.256134033203125,0.0
1391,stacked,2,7,4,1,1,2,1,-2.650787353515625,-2.8609848022460938,0.02892354130744934,-2.650787353515625,-2.8609848022460938,0.0
1440,stacked,2,8,4,0,1,2,1,-0.3904571533203125,-2.083911895751953,0.030206814408302307,-0.3904571533203125,-2.083911895751953,0.0
1441,stacked,2,8,4,1,1,2,1,-0.5344734191894531,-2.1367454528808594,0.025472000241279602,-0.5344734191894531,-2.1367454528808594,0.0
