tuple_below_symbol,tuple_above_symbol,tuple_relation_symbol,pair_index,below_type,below_type_name,below_size,above_type,above_type_name,above_size,effect_label
0,2,1,2074,4,Cup,2,2,Vertical cylinder,5,stacked
0,2,1,2075,4,Cup,2,2,Vertical cylinder,6,stacked
0,2,1,2076,4,Cup,2,2,Vertical cylinder,7,stacked
0,2,1,2077,4,Cup,2,2,Vertical cylinder,8,stacked
0,2,1,2078,4,Cup,2,2,Vertical cylinder,9,stacked
0,2,1,2079,4,Cup,2,2,Vertical cylinder,10,stacked
0,2,1,2111,4,Cup,3,1,Cube,2,stacked
0,2,1,2112,4,Cup,3,1,Cube,3,stacked
0,2,1,2113,4,Cup,3,1,Cube,4,stacked
0,2,1,2114,4,Cup,3,1,Cube,5,stacked
0,2,1,2115,4,Cup,3,1,Cube,6,stacked
0,2,1,2116,4,Cup,3,1,Cube,7,stacked
0,2,1,2117,4,Cup,3,1,Cube,8,stacked
0,2,1,2118,4,Cup,3,1,Cube,9,stacked
0,2,1,2119,4,Cup,3,1,Cube,10,stacked
0,2,1,2120,4,Cup,3,2,Vertical cylinder,1,stacked
0,2,1,2121,4,Cup,3,2,Vertical cylinder,2,stacked
0,2,1,2122,4,Cup,3,2,Vertical cylinder,3,stacked
0,2,1,2123,4,Cup,3,2,Vertical cylinder,4,stacked
0,2,1,2124,4,Cup,3,2,Vertical cylinder,5,stacked
0,2,1,2125,4,Cup,3,2,Vertical cylinder,6,stacked
0,2,1,2126,4,Cup,3,2,Vertical cylinder,7,stacked
0,2,1,2127,4,Cup,3,2,Vertical cylinder,8,stacked
0,2,1,2128,4,Cup,3,2,Vertical cylinder,9,stacked
0,2,1,2129,4,Cup,3,2,Vertical cylinder,10,stacked
0,2,1,2161,4,Cup,4,1,Cube,2,stacked
0,2,1,2162,4,Cup,4,1,Cube,3,stacked
0,2,1,2163,4,Cup,4,1,Cube,4,stacked
0,2,1,2164,4,Cup,4,1,Cube,5,stacked
0,2,1,2165,4,Cup,4,1,Cube,6,stacked
0,2,1,2166,4,Cup,4,1,Cube,7,stacked
0,2,1,2167,4,Cup,4,1,Cube,8,stacked
0,2,1,2168,4,Cup,4,1,Cube,9,stacked
0,2,1,2169,4,Cup,4,1,Cube,10,stacked
0,2,1,2171,4,Cup,4,2,Vertical cylinder,2,stacked
0,2,1,2172,4,Cup,4,2,Vertical cylinder,3,stacked
0,2,1,2173,4,Cup,4,2,Vertical cylinder,4,stacked
0,2,1,2174,4,Cup,4,2,Vertical cylinder,5,stacked
0,2,1,2175,4,Cup,4,2,Vertical cylinder,6,stacked
0,2,1,2176,4,Cup,4,2,Vertical cylinder,7,stacked
0,2,1,2177,4,Cup,4,2,Vertical cylinder,8,stacked
0,2,1,2178,4,Cup,4,2,Vertical cylinder,9,stacked
0,2,1,2179,4,Cup,4,2,Vertical cylinder,10,stacked
0,2,1,2211,4,Cup,5,1,Cube,2,tumble2
0,2,1,2212,4,Cup,5,1,Cube,3,stacked
0,2,1,2213,4,Cup,5,1,Cube,4,stacked
0,2,1,2214,4,Cup,5,1,Cube,5,stacked
0,2,1,2215,4,Cup,5,1,Cube,6,stacked
0,2,1,2216,4,Cup,5,1,Cube,7,stacked
0,2,1,2217,4,Cup,5,1,Cube,8,stacked
0,2,1,2218,4,Cup,5,1,Cube,9,stacked
0,2,1,2219,4,Cup,5,1,Cube,10,stacked
0,2,1,2222,4,Cup,5,2,Vertical cylinder,3,stacked
0,2,1,2223,4,Cup,5,2,Vertical cylinder,4,stacked
0,2,1,2224,4,Cup,5,2,Vertical cylinder,5,stacked
0,2,1,2225,4,Cup,5,2,Vertical cylinder,6,stacked
0,2,1,2226,4,Cup,5,2,Vertical cylinder,7,stacked
0,2,1,2227,4,Cup,5,2,Vertical cylinder,8,stacked
0,2,1,2228,4,Cup,5,2,Vertical cylinder,9,stacked
0,2,1,2229,4,Cup,5,2,Vertical cylinder,10,stacked
0,2,1,2263,4,Cup,6,1,Cube,4,stacked
0,2,1,2264,4,Cup,6,1,Cube,5,stacked
0,2,1,2265,4,Cup,6,1,Cube,6,stacked
0,2,1,2266,4,Cup,6,1,Cube,7,stacked
0,2,1,2267,4,Cup,6,1,Cube,8,stacked
0,2,1,2268,4,Cup,6,1,Cube,9,stacked
0,2,1,2269,4,Cup,6,1,Cube,10,stacked
0,2,1,2273,4,Cup,6,2,Vertical cylinder,4,stacked
0,2,1,2274,4,Cup,6,2,Vertical cylinder,5,stacked
0,2,1,2275,4,Cup,6,2,Vertical cylinder,6,stacked
0,2,1,2276,4,Cup,6,2,Vertical cylinder,7,stacked
0,2,1,2277,4,Cup,6,2,Vertical cylinder,8,stacked
0,2,1,2278,4,Cup,6,2,Vertical cylinder,9,stacked
0,2,1,2279,4,Cup,6,2,Vertical cylinder,10,stacked
0,2,1,2314,4,Cup,7,1,Cube,5,stacked
0,2,1,2315,4,Cup,7,1,Cube,6,stacked
0,2,1,2316,4,Cup,7,1,Cube,7,stacked
0,2,1,2317,4,Cup,7,1,Cube,8,stacked
0,2,1,2318,4,Cup,7,1,Cube,9,stacked
0,2,1,2319,4,Cup,7,1,Cube,10,stacked
