run,ok,elapsed_seconds,first_symbolic_action,first_physical_action,physical_plan,representative_branch_probability,representative_goal_reached,symbolic_action_count,physical_action_count,error
86,True,3.886051345994929,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
87,True,3.9171885779942386,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
88,True,4.01790671001072,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
89,True,3.889055214007385,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O1 on O3,0.21639356322861958,True,12,3,
90,True,3.6807895730016753,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
91,True,3.8735847510106396,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
92,True,3.8720970959984697,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
93,True,3.875812940998003,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
94,True,3.7750810110010207,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
95,True,3.9706928819941822,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
96,True,3.6482539560238365,makebase O4,O3 on O4,O3 on O4 | O2 on O3 | O5 on O2,0.9237487407683473,True,12,3,
97,True,3.862868452008115,makebase O4,O5 on O4,O5 on O4 | O3 on O5 | O2 on O3,0.9237487407683473,True,12,3,
98,True,3.8382231069845147,makebase O4,O2 on O4,O2 on O4 | O5 on O2 | O3 on O5,0.9237487407683473,True,12,3,
99,True,3.84068348899018,makebase O4,O2 on O4,O2 on O4 | O3 on O2 | O5 on O3,0.9237487407683473,True,12,3,
