physical_plan,count,fraction
O2 on O4 | O5 on O2 | O3 on O5,37,0.37
O2 on O4 | O3 on O2 | O5 on O3,29,0.29
O3 on O4 | O2 on O3 | O5 on O2,18,0.18
O5 on O4 | O3 on O5 | O2 on O3,9,0.09
O2 on O4 | O3 on O2 | O1 on O3,3,0.03
O3 on O4 | O2 on O3 | O1 on O2,2,0.02
O5 on O4 | O3 on O5 | O1 on O3,2,0.02
